Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-06-21,1655740800000,1.0000000000,1.3880000000,1.0000000000,1.3580000000,139.4522000000,188.0160000000,188.0160000000,1,THETA-USDC
2022-06-22,1655827200000,1.3600000000,1.3730000000,1.2060000000,1.2410000000,1788.1666000000,2230.4348000000,2230.4348000000,1,THETA-USDC
2022-06-23,1655913600000,1.2290000000,1.3050000000,1.2060000000,1.2510000000,790.2646000000,1001.0490000000,1001.0490000000,1,THETA-USDC
2022-06-24,1656000000000,1.2520000000,1.4100000000,1.2380000000,1.3770000000,3116.7328000000,4245.6367000000,4245.6367000000,1,THETA-USDC
2022-06-25,1656086400000,1.3770000000,1.5380000000,1.3670000000,1.3690000000,12610.6111000000,18600.3842000000,18600.3842000000,1,THETA-USDC
2022-06-26,1656172800000,1.3700000000,1.5070000000,1.3700000000,1.4100000000,3187.4973000000,4590.1537000000,4590.1537000000,1,THETA-USDC
2022-06-27,1656259200000,1.4080000000,1.4210000000,1.3180000000,1.3400000000,1324.6914000000,1824.3640000000,1824.3640000000,1,THETA-USDC
2022-06-28,1656345600000,1.3400000000,1.3730000000,1.3020000000,1.3070000000,3097.8426000000,4114.4652000000,4114.4652000000,1,THETA-USDC
2022-06-29,1656432000000,1.3040000000,1.3180000000,1.2080000000,1.2350000000,2045.5247000000,2568.7268000000,2568.7268000000,1,THETA-USDC
2022-06-30,1656518400000,1.2380000000,1.2550000000,1.1060000000,1.1480000000,3977.3163000000,4697.7298000000,4697.7298000000,1,THETA-USDC
2022-07-01,1656604800000,1.1500000000,1.2280000000,1.1310000000,1.1520000000,3296.7267000000,3837.9372000000,3837.9372000000,1,THETA-USDC
2022-07-02,1656691200000,1.1510000000,1.2000000000,1.1340000000,1.1650000000,3244.4201000000,3767.9631000000,3767.9631000000,1,THETA-USDC
2022-07-03,1656777600000,1.1650000000,1.2120000000,1.1460000000,1.1990000000,4396.5241000000,5210.2082000000,5210.2082000000,1,THETA-USDC
2022-07-04,1656864000000,1.1980000000,1.2380000000,1.1750000000,1.2220000000,6059.3943000000,7344.6289000000,7344.6289000000,1,THETA-USDC
2022-07-05,1656950400000,1.2210000000,1.2700000000,1.1550000000,1.1870000000,8559.4359000000,10533.3358000000,10533.3358000000,1,THETA-USDC
2022-07-06,1657036800000,1.1880000000,1.2420000000,1.1710000000,1.2050000000,13998.0921000000,16834.3951000000,16834.3951000000,1,THETA-USDC
2022-07-07,1657123200000,1.2030000000,1.2810000000,1.2030000000,1.2710000000,9541.5012000000,11734.6736000000,11734.6736000000,1,THETA-USDC
2022-07-08,1657209600000,1.2730000000,1.3080000000,1.2160000000,1.2480000000,4569.9195000000,5804.7250000000,5804.7250000000,1,THETA-USDC
2022-07-09,1657296000000,1.2470000000,1.2810000000,1.2280000000,1.2730000000,14088.6157000000,17782.7653000000,17782.7653000000,1,THETA-USDC
2022-07-10,1657382400000,1.2740000000,1.2850000000,1.1950000000,1.1970000000,14346.6601000000,17903.9928000000,17903.9928000000,1,THETA-USDC
2022-07-11,1657468800000,1.1990000000,1.2160000000,1.1560000000,1.1790000000,15329.8206000000,18236.2934000000,18236.2934000000,1,THETA-USDC
2022-07-12,1657555200000,1.1780000000,1.1960000000,1.1110000000,1.1380000000,7122.8970000000,8170.9921000000,8170.9921000000,1,THETA-USDC
2022-07-13,1657641600000,1.1400000000,1.1500000000,1.0550000000,1.0900000000,11324.2719000000,12363.3977000000,12363.3977000000,1,THETA-USDC
2022-07-14,1657728000000,1.0880000000,1.1550000000,1.0780000000,1.1400000000,35210.3565000000,39410.6065000000,39410.6065000000,1,THETA-USDC
2022-07-15,1657814400000,1.1420000000,1.1910000000,1.1210000000,1.1630000000,30171.7731000000,35105.7259000000,35105.7259000000,1,THETA-USDC
2022-07-16,1657900800000,1.1630000000,1.1910000000,1.1350000000,1.1700000000,30585.3333000000,35423.7681000000,35423.7681000000,1,THETA-USDC
2022-07-17,1657987200000,1.1690000000,1.2140000000,1.1550000000,1.1730000000,8898.9019000000,10567.2942000000,10567.2942000000,1,THETA-USDC
2022-07-18,1658073600000,1.1730000000,1.2950000000,1.1560000000,1.2920000000,15308.1898000000,18807.9874000000,18807.9874000000,1,THETA-USDC
2022-07-19,1658160000000,1.2900000000,1.3500000000,1.2340000000,1.3270000000,10654.9702000000,13666.5465000000,13666.5465000000,1,THETA-USDC
2022-07-20,1658246400000,1.3270000000,1.3660000000,1.2850000000,1.3200000000,9689.6299000000,13013.9468000000,13013.9468000000,1,THETA-USDC
2022-07-21,1658332800000,1.3200000000,1.3260000000,1.1920000000,1.2280000000,4423.1261000000,5481.8854000000,5481.8854000000,1,THETA-USDC
2022-07-22,1658419200000,1.2280000000,1.3100000000,1.2280000000,1.2580000000,6694.6883000000,8484.4490000000,8484.4490000000,1,THETA-USDC
2022-07-23,1658505600000,1.2600000000,1.3170000000,1.2100000000,1.2890000000,8519.2833000000,10798.3758000000,10798.3758000000,1,THETA-USDC
2022-07-24,1658592000000,1.2890000000,1.3430000000,1.2460000000,1.3230000000,10902.4896000000,14226.2937000000,14226.2937000000,1,THETA-USDC
2022-07-25,1658678400000,1.3230000000,1.3300000000,1.1070000000,1.2170000000,3420.8695000000,4283.2214000000,4283.2214000000,1,THETA-USDC
2022-07-26,1658764800000,1.2150000000,1.2310000000,1.1420000000,1.1570000000,6993.2997000000,8196.9372000000,8196.9372000000,1,THETA-USDC
2022-07-27,1658851200000,1.1550000000,1.2060000000,1.1400000000,1.1960000000,7452.8821000000,8785.8943000000,8785.8943000000,1,THETA-USDC
2022-07-28,1658937600000,1.1940000000,1.3400000000,1.1760000000,1.3330000000,6133.5906000000,7807.4266000000,7807.4266000000,1,THETA-USDC
2022-07-29,1659024000000,1.3320000000,1.4760000000,1.3270000000,1.4330000000,12474.9697000000,17527.1503000000,17527.1503000000,1,THETA-USDC
2022-07-30,1659110400000,1.4310000000,1.4870000000,1.3980000000,1.4870000000,11748.3911000000,16851.2120000000,16851.2120000000,1,THETA-USDC
2022-07-31,1659196800000,1.4840000000,1.5040000000,1.3590000000,1.4020000000,9492.8407000000,13533.9946000000,13533.9946000000,1,THETA-USDC
2022-08-01,1659283200000,1.4020000000,1.4520000000,1.3140000000,1.3870000000,8044.7157000000,11003.7801000000,11003.7801000000,1,THETA-USDC
2022-08-02,1659369600000,1.3860000000,1.5750000000,1.3520000000,1.3880000000,21067.1733000000,30324.1274000000,30324.1274000000,1,THETA-USDC
2022-08-03,1659456000000,1.3880000000,1.4350000000,1.3200000000,1.4200000000,8647.9232000000,11968.3917000000,11968.3917000000,1,THETA-USDC
2022-08-04,1659542400000,1.4210000000,1.4530000000,1.3630000000,1.4040000000,8171.4768000000,11515.9475000000,11515.9475000000,1,THETA-USDC
2022-08-05,1659628800000,1.4050000000,1.6530000000,1.3650000000,1.5940000000,14923.6152000000,22885.3899000000,22885.3899000000,1,THETA-USDC
2022-08-06,1659715200000,1.5890000000,1.6370000000,1.5580000000,1.5790000000,5197.6547000000,8204.6087000000,8204.6087000000,1,THETA-USDC
2022-08-07,1659801600000,1.5570000000,1.6620000000,1.5250000000,1.6590000000,6486.9769000000,10190.0838000000,10190.0838000000,1,THETA-USDC
2022-08-08,1659888000000,1.6490000000,1.7120000000,1.6290000000,1.6290000000,2730.0554000000,4527.2508000000,4527.2508000000,1,THETA-USDC
2022-08-09,1659974400000,1.6260000000,1.6510000000,1.5000000000,1.5240000000,920.0007000000,1413.3400000000,1413.3400000000,1,THETA-USDC
2022-08-10,1660060800000,1.5270000000,1.6210000000,1.4860000000,1.6140000000,5243.4601000000,8062.5699000000,8062.5699000000,1,THETA-USDC
2022-08-11,1660147200000,1.6200000000,1.6240000000,1.5760000000,1.6040000000,1240.9687000000,1981.8643000000,1981.8643000000,1,THETA-USDC
2022-08-12,1660233600000,1.5970000000,1.6290000000,1.5570000000,1.5890000000,818.0624000000,1307.2258000000,1307.2258000000,1,THETA-USDC
2022-08-13,1660320000000,1.5980000000,1.6380000000,1.5870000000,1.5950000000,193.1556000000,310.2804000000,310.2804000000,1,THETA-USDC
2022-08-14,1660406400000,1.6010000000,1.6280000000,1.5630000000,1.5630000000,1544.3479000000,2483.0814000000,2483.0814000000,1,THETA-USDC
2022-08-15,1660492800000,1.5390000000,1.5640000000,1.4860000000,1.5180000000,186.2085000000,282.0064000000,282.0064000000,1,THETA-USDC
2022-08-16,1660579200000,1.5170000000,1.5170000000,1.4610000000,1.4670000000,945.6470000000,1398.3605000000,1398.3605000000,1,THETA-USDC
