Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-11,1515600000000,0.10499,0.11899,0.10499,0.1124,236813.307923,26412.575653,26412.575653,1,TRX-USDT
2018-01-12,1515686400000,0.1124,0.1254,0.095,0.1052,2446290.767116,269929.340031,269929.340031,1,TRX-USDT
2018-01-13,1515772800000,0.10589,0.11899,0.10119,0.10349,2801759.293441,304781.91595,304781.91595,1,TRX-USDT
2018-01-14,1515859200000,0.1029,0.1072,0.085,0.0853,5453892.236963,535100.901977,535100.901977,1,TRX-USDT
2018-01-15,1515945600000,0.0853,0.09929,0.0636,0.0845,3290168.782039,267220.008007,267220.008007,1,TRX-USDT
2018-01-16,1516032000000,0.083,0.08599,0.05,0.05979,2669351.65485,170051.913134,170051.913134,1,TRX-USDT
2018-01-17,1516118400000,0.05929,0.063,0.04,0.0458,2536420.838209,130215.445531,130215.445531,1,TRX-USDT
2018-01-18,1516204800000,0.0458,0.113,0.0451,0.09379,8340584.905218,691073.051458,691073.051458,1,TRX-USDT
2018-01-19,1516291200000,0.0945,0.0945,0.06719,0.0826,5039963.474829,409085.552737,409085.552737,1,TRX-USDT
2018-01-20,1516377600000,0.0839,0.0887,0.079,0.08319,1736790.202625,146272.305023,146272.305023,1,TRX-USDT
2018-01-21,1516464000000,0.0829,0.0888,0.0734,0.0746,2663351.42755,215770.447227,215770.447227,1,TRX-USDT
2018-01-22,1516550400000,0.07449,0.0864,0.0646,0.0646,3728161.733204,278698.567488,278698.567488,1,TRX-USDT
2018-01-23,1516636800000,0.06489,0.07259,0.06219,0.06859,2271446.469207,151168.91623,151168.91623,1,TRX-USDT
2018-01-24,1516723200000,0.06859,0.07779,0.06579,0.0722,4874503.934457,344491.561117,344491.561117,1,TRX-USDT
2018-01-25,1516809600000,0.0723,0.085,0.065,0.06819,8993689.172511,658335.390709,658335.390709,1,TRX-USDT
2018-01-26,1516896000000,0.06729,0.07309,0.06029,0.0675,4554721.140352,301354.04673,301354.04673,1,TRX-USDT
2018-01-27,1516982400000,0.0675,0.07069,0.064,0.0695,4574775.727581,309102.931067,309102.931067,1,TRX-USDT
2018-01-28,1517068800000,0.0694,0.07209,0.06669,0.06809,3011991.396187,208432.756942,208432.756942,1,TRX-USDT
2018-01-29,1517155200000,0.06779,0.0709,0.064,0.06479,3725613.667148,247582.131862,247582.131862,1,TRX-USDT
2018-01-30,1517241600000,0.06479,0.0671,0.0541,0.0555,6608440.309171,401782.753037,401782.753037,1,TRX-USDT
2018-01-31,1517328000000,0.0557,0.0666,0.05029,0.0516,3616983.264533,198705.0303,198705.0303,1,TRX-USDT
2018-02-01,1517414400000,0.0514,0.0604,0.04379,0.04719,2850223.401389,149250.563401,149250.563401,1,TRX-USDT
2018-02-02,1517500800000,0.04719,0.0485,0.03209,0.04309,5280003.046984,212766.169997,212766.169997,1,TRX-USDT
2018-02-03,1517587200000,0.0437,0.04939,0.03719,0.04399,2478677.236902,107558.117493,107558.117493,1,TRX-USDT
2018-02-04,1517673600000,0.0451,0.04979,0.0364,0.04139,2673310.853891,117981.93765,117981.93765,1,TRX-USDT
2018-02-05,1517760000000,0.0415,0.0415,0.03139,0.033,3606531.264104,133455.272923,133455.272923,1,TRX-USDT
2018-02-06,1517846400000,0.0332,0.03359,0.025,0.03169,3974721.054801,111518.986382,111518.986382,1,TRX-USDT
2018-02-07,1517932800000,0.032,0.04499,0.0287,0.0361,3586898.030891,127565.294067,127565.294067,1,TRX-USDT
2018-02-08,1518019200000,0.0361,0.03869,0.0327,0.03699,2081209.107221,76366.52093,76366.52093,1,TRX-USDT
2018-02-09,1518105600000,0.03749,0.04499,0.03479,0.0427,2652916.442058,106231.724254,106231.724254,1,TRX-USDT
2018-02-10,1518192000000,0.04229,0.055,0.04229,0.0458,4141705.653766,209183.633981,209183.633981,1,TRX-USDT
2018-02-11,1518278400000,0.04569,0.05179,0.0396,0.04499,2516819.429224,109633.26903,109633.26903,1,TRX-USDT
2018-02-12,1518364800000,0.04519,0.0476,0.04179,0.04429,1416982.376527,63930.209314,63930.209314,1,TRX-USDT
2018-02-13,1518451200000,0.04519,0.0468,0.0422,0.04299,958007.405843,42088.230586,42088.230586,1,TRX-USDT
2018-02-14,1518537600000,0.04299,0.0476,0.0427,0.0461,2224221.783082,99895.334005,99895.334005,1,TRX-USDT
2018-02-15,1518624000000,0.04669,0.05,0.04299,0.0453,1261801.032014,58355.556875,58355.556875,1,TRX-USDT
2018-02-16,1518710400000,0.0454,0.0543,0.0453,0.04979,1325077.187588,65217.067694,65217.067694,1,TRX-USDT
2018-02-17,1518796800000,0.0502,0.055,0.04939,0.05399,1786096.459172,93833.230847,93833.230847,1,TRX-USDT
2018-02-18,1518883200000,0.0531,0.055,0.04769,0.05079,2870318.7915,145029.822835,145029.822835,1,TRX-USDT
2018-02-19,1518969600000,0.05,0.0529,0.04889,0.0522,844305.428812,42977.00018,42977.00018,1,TRX-USDT
2018-02-20,1519056000000,0.0516,0.0528,0.0495,0.0495,574906.929699,29274.631827,29274.631827,1,TRX-USDT
2018-02-21,1519142400000,0.0499,0.05149,0.04299,0.04309,1010130.862361,46288.021743,46288.021743,1,TRX-USDT
2018-02-22,1519228800000,0.0434,0.0468,0.03919,0.04059,964925.622779,41663.249152,41663.249152,1,TRX-USDT
2018-02-23,1519315200000,0.04059,0.04349,0.0386,0.04179,976150.340213,39439.886184,39439.886184,1,TRX-USDT
2018-02-24,1519401600000,0.04279,0.0454,0.03989,0.0407,1211644.686344,51438.251382,51438.251382,1,TRX-USDT
2018-02-25,1519488000000,0.0403,0.0425,0.0385,0.039,453766.334414,18331.750553,18331.750553,1,TRX-USDT
2018-02-26,1519574400000,0.0395,0.04299,0.0386,0.0415,564398.980069,22983.526413,22983.526413,1,TRX-USDT
2018-02-27,1519660800000,0.0413,0.0429,0.04039,0.04139,821227.896221,33943.305726,33943.305726,1,TRX-USDT
