Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-09-30,1632931200000,0.25001,0.545,0.25001,0.41487,4720519.330422,1931829.35403,1931829.35403,1,TUP-USDT
2021-10-01,1633017600000,0.41491,0.42894,0.39,0.40532,2417517.998446,995353.058594,995353.058594,1,TUP-USDT
2021-10-02,1633104000000,0.40531,0.416,0.395,0.40001,1424539.427053,579085.083746,579085.083746,1,TUP-USDT
2021-10-03,1633190400000,0.39995,0.407,0.397,0.40145,1220737.611307,489965.46636,489965.46636,1,TUP-USDT
2021-10-04,1633276800000,0.40158,0.4042,0.385,0.39508,1172840.193657,467811.015798,467811.015798,1,TUP-USDT
2021-10-05,1633363200000,0.39513,0.4,0.37,0.38075,1418608.591886,548826.16704,548826.16704,1,TUP-USDT
2021-10-06,1633449600000,0.38075,0.3834,0.335,0.35426,1128757.92949,409342.019395,409342.019395,1,TUP-USDT
2021-10-07,1633536000000,0.35429,0.38069,0.34956,0.37466,1188886.011735,431979.243255,431979.243255,1,TUP-USDT
2021-10-08,1633622400000,0.37471,0.377,0.33715,0.35212,1030354.34404,369775.479873,369775.479873,1,TUP-USDT
2021-10-09,1633708800000,0.35211,0.355,0.3421,0.34388,771062.210693,267987.985026,267987.985026,1,TUP-USDT
2021-10-10,1633795200000,0.34396,0.347,0.3105,0.3229,1241156.236961,414348.796542,414348.796542,1,TUP-USDT
2021-10-11,1633881600000,0.32196,0.33067,0.3,0.31234,969768.713812,307938.302334,307938.302334,1,TUP-USDT
2021-10-12,1633968000000,0.31236,0.31498,0.3016,0.3051,790151.644217,243030.614975,243030.614975,1,TUP-USDT
2021-10-13,1634054400000,0.30511,0.31099,0.287,0.29459,898270.662286,271454.622289,271454.622289,1,TUP-USDT
2021-10-14,1634140800000,0.29463,0.48788,0.28002,0.39733,3716337.28534,1389738.228768,1389738.228768,1,TUP-USDT
2021-10-15,1634227200000,0.3974,0.432,0.37717,0.42866,2439283.838856,982541.39619,982541.39619,1,TUP-USDT
2021-10-16,1634313600000,0.42853,0.43,0.32153,0.33851,2630627.317483,940336.699361,940336.699361,1,TUP-USDT
2021-10-17,1634400000000,0.33866,0.3399,0.305,0.31382,1394022.428734,441085.685818,441085.685818,1,TUP-USDT
2021-10-18,1634486400000,0.31382,0.3148,0.284,0.29275,1547621.827622,464033.371716,464033.371716,1,TUP-USDT
2021-10-19,1634572800000,0.29267,0.304,0.28702,0.29668,835760.48795,247205.582418,247205.582418,1,TUP-USDT
2021-10-20,1634659200000,0.29662,0.3825,0.29,0.32237,2772090.493427,902361.140647,902361.140647,1,TUP-USDT
2021-10-21,1634745600000,0.32244,0.32493,0.307,0.31206,1238840.729556,390907.459144,390907.459144,1,TUP-USDT
2021-10-22,1634832000000,0.31203,0.321,0.3102,0.31669,852703.079492,269303.258175,269303.258175,1,TUP-USDT
2021-10-23,1634918400000,0.31677,0.32298,0.311,0.31767,796841.646242,252328.779102,252328.779102,1,TUP-USDT
2021-10-24,1635004800000,0.31764,0.321,0.31301,0.31328,790698.292262,250781.114129,250781.114129,1,TUP-USDT
2021-10-25,1635091200000,0.31321,0.3192,0.313,0.31596,734697.721199,232093.109483,232093.109483,1,TUP-USDT
2021-10-26,1635177600000,0.31594,0.35949,0.31455,0.35784,2377737.571621,802481.777827,802481.777827,1,TUP-USDT
2021-10-27,1635264000000,0.35762,0.38,0.32,0.32101,2156821.477909,747066.327308,747066.327308,1,TUP-USDT
2021-10-28,1635350400000,0.32101,0.34199,0.3007,0.3322,1752510.991002,567002.537568,567002.537568,1,TUP-USDT
2021-10-29,1635436800000,0.3321,0.33488,0.3205,0.32598,973538.845519,319314.474999,319314.474999,1,TUP-USDT
2021-10-30,1635523200000,0.32598,0.34,0.32507,0.33414,847657.408309,280257.071185,280257.071185,1,TUP-USDT
2021-10-31,1635609600000,0.33424,0.33938,0.30337,0.3131,1407177.281039,454901.75345,454901.75345,1,TUP-USDT
2021-11-01,1635696000000,0.3131,0.32895,0.30215,0.31284,1137420.166909,358403.213692,358403.213692,1,TUP-USDT
2021-11-02,1635782400000,0.31284,0.32,0.308,0.31056,717310.504411,224081.879717,224081.879717,1,TUP-USDT
2021-11-03,1635868800000,0.31055,0.319,0.305,0.30978,904034.914561,282263.986198,282263.986198,1,TUP-USDT
2021-11-04,1635955200000,0.30979,0.32251,0.3,0.30999,1170990.153246,362521.400386,362521.400386,1,TUP-USDT
2021-11-05,1636041600000,0.30998,0.325,0.30415,0.31274,1091810.247983,342157.662514,342157.662514,1,TUP-USDT
2021-11-06,1636128000000,0.31276,0.31449,0.29,0.29478,973961.132447,296377.740375,296377.740375,1,TUP-USDT
