Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-05-31,1653926400000,5.0,5.858,5.0,5.858,3116.82,17864.7062,17864.7062,1,UNI-USDC
2022-06-01,1654012800000,5.796,5.812,5.412,5.412,5891.5042,33235.4751,33235.4751,1,UNI-USDC
2022-06-02,1654099200000,5.423,5.423,5.06,5.213,11644.9586,61608.4867,61608.4867,1,UNI-USDC
2022-06-03,1654185600000,5.207,5.332,4.967,5.031,3454.8445,17923.4618,17923.4618,1,UNI-USDC
2022-06-04,1654272000000,5.037,5.155,4.934,5.068,2009.1471,10164.8821,10164.8821,1,UNI-USDC
2022-06-05,1654358400000,5.063,5.168,4.913,5.046,1710.5728,8628.4008,8628.4008,1,UNI-USDC
2022-06-06,1654444800000,5.057,5.413,5.03,5.321,4165.6722,21819.4761,21819.4761,1,UNI-USDC
2022-06-07,1654531200000,5.314,5.393,4.944,5.117,10833.6451,55626.5327,55626.5327,1,UNI-USDC
2022-06-08,1654617600000,5.115,5.402,5.057,5.17,14174.7096,73740.7517,73740.7517,1,UNI-USDC
2022-06-09,1654704000000,5.163,5.349,5.026,5.241,8370.4766,43188.3293,43188.3293,1,UNI-USDC
2022-06-10,1654790400000,5.238,5.288,4.843,4.936,23256.288,117810.645,117810.645,1,UNI-USDC
2022-06-11,1654876800000,4.921,4.963,4.325,4.369,41304.9707,194069.5233,194069.5233,1,UNI-USDC
2022-06-12,1654963200000,4.372,4.494,4.091,4.428,51951.5749,221516.6372,221516.6372,1,UNI-USDC
2022-06-13,1655049600000,4.428,4.454,3.45,3.648,91583.0854,346172.0245,346172.0245,1,UNI-USDC
2022-06-14,1655136000000,3.65,3.853,3.356,3.785,75155.0811,274803.8028,274803.8028,1,UNI-USDC
2022-06-15,1655222400000,3.787,3.93,3.386,3.756,68000.6718,249442.5179,249442.5179,1,UNI-USDC
2022-06-16,1655308800000,3.755,4.454,3.642,3.935,84432.8254,344362.983,344362.983,1,UNI-USDC
2022-06-17,1655395200000,3.938,4.015,3.75,3.946,50640.4924,197640.8194,197640.8194,1,UNI-USDC
2022-06-18,1655481600000,3.939,4.082,3.583,3.621,52452.6533,200259.9569,200259.9569,1,UNI-USDC
2022-06-19,1655568000000,3.62,4.015,3.331,4.015,80732.5634,293923.363,293923.363,1,UNI-USDC
2022-06-20,1655654400000,4.011,4.377,3.912,4.242,60104.7382,249415.4102,249415.4102,1,UNI-USDC
2022-06-21,1655740800000,4.245,5.032,4.104,4.968,62345.6782,279472.0215,279472.0215,1,UNI-USDC
2022-06-22,1655827200000,4.964,5.348,4.566,5.117,86019.3952,423547.9576,423547.9576,1,UNI-USDC
2022-06-23,1655913600000,5.114,5.643,4.96,5.343,66097.7763,350245.9892,350245.9892,1,UNI-USDC
2022-06-24,1656000000000,5.343,5.786,5.186,5.517,57533.7236,319311.2505,319311.2505,1,UNI-USDC
2022-06-25,1656086400000,5.517,5.62,5.252,5.3,43232.1218,235743.6502,235743.6502,1,UNI-USDC
2022-06-26,1656172800000,5.292,5.894,5.276,5.605,36872.6854,207282.9011,207282.9011,1,UNI-USDC
2022-06-27,1656259200000,5.598,6.08,5.387,5.441,39233.2327,223692.369,223692.369,1,UNI-USDC
2022-06-28,1656345600000,5.44,5.478,5.085,5.085,70698.606,376348.0648,376348.0648,1,UNI-USDC
2022-06-29,1656432000000,5.092,5.232,4.772,5.203,363738.1911,1805634.6258,1805634.6258,1,UNI-USDC
2022-06-30,1656518400000,5.195,5.265,4.598,4.776,560201.0236,2761686.4203,2761686.4203,1,UNI-USDC
2022-07-01,1656604800000,4.774,5.123,4.688,4.788,500394.429,2450815.7329,2450815.7329,1,UNI-USDC
2022-07-02,1656691200000,4.781,5.079,4.711,4.846,317263.8254,1541926.596,1541926.596,1,UNI-USDC
2022-07-03,1656777600000,4.842,4.999,4.718,4.764,219953.3295,1070477.1388,1070477.1388,1,UNI-USDC
2022-07-04,1656864000000,4.756,5.126,4.729,5.032,295987.7006,1451922.1395,1451922.1395,1,UNI-USDC
2022-07-05,1656950400000,5.02,6.458,4.988,5.085,437304.0699,2277619.7069,2277619.7069,1,UNI-USDC
2022-07-06,1657036800000,5.087,5.489,5.067,5.303,528336.0997,2814941.194,2814941.194,1,UNI-USDC
2022-07-07,1657123200000,5.306,5.707,5.278,5.667,331129.4376,1797918.7085,1797918.7085,1,UNI-USDC
2022-07-08,1657209600000,5.678,5.956,5.517,5.688,431717.5824,2467709.2632,2467709.2632,1,UNI-USDC
2022-07-09,1657296000000,5.689,6.37,5.607,6.33,619455.2671,3757071.7897,3757071.7897,1,UNI-USDC
2022-07-10,1657382400000,6.325,6.606,6.002,6.065,577712.3406,3637778.0193,3637778.0193,1,UNI-USDC
2022-07-11,1657468800000,6.063,6.405,5.92,6.068,568801.1227,3502648.7758,3502648.7758,1,UNI-USDC
2022-07-12,1657555200000,6.065,6.065,5.236,5.785,990406.0192,5573255.387,5573255.387,1,UNI-USDC
2022-07-13,1657641600000,5.786,5.835,5.244,5.512,718121.0554,3999915.3654,3999915.3654,1,UNI-USDC
2022-07-14,1657728000000,5.509,6.737,5.406,6.467,1224383.6644,7494024.9891,7494024.9891,1,UNI-USDC
2022-07-15,1657814400000,6.463,7.231,6.278,6.775,968451.614,6666714.4147,6666714.4147,1,UNI-USDC
2022-07-16,1657900800000,6.77,7.228,6.667,7.209,601147.7493,4158999.4449,4158999.4449,1,UNI-USDC
2022-07-17,1657987200000,7.202,7.683,6.956,6.993,659050.041,4770450.0851,4770450.0851,1,UNI-USDC
2022-07-18,1658073600000,6.993,7.446,6.878,7.33,621698.1333,4478084.5681,4478084.5681,1,UNI-USDC
2022-07-19,1658160000000,7.33,7.753,6.929,7.44,872240.0834,6435856.8439,6435856.8439,1,UNI-USDC
2022-07-20,1658246400000,7.449,7.635,7.185,7.434,848241.6583,6281715.9929,6281715.9929,1,UNI-USDC
2022-07-21,1658332800000,7.43,7.445,6.67,7.03,654002.7623,4534218.1571,4534218.1571,1,UNI-USDC
2022-07-22,1658419200000,7.019,7.458,6.985,7.008,598878.2862,4328650.3418,4328650.3418,1,UNI-USDC
2022-07-23,1658505600000,7.008,7.206,6.636,6.791,568203.2731,3938926.6571,3938926.6571,1,UNI-USDC
2022-07-24,1658592000000,6.786,7.137,6.686,7.05,423847.9478,2948453.7759,2948453.7759,1,UNI-USDC
2022-07-25,1658678400000,7.051,7.5,6.819,7.25,737605.0287,5202716.2667,5202716.2667,1,UNI-USDC
2022-07-26,1658764800000,7.251,7.519,6.35,6.352,889132.3959,6169312.3993,6169312.3993,1,UNI-USDC
2022-07-27,1658851200000,6.351,6.836,6.215,6.793,592144.4525,3882846.9326,3882846.9326,1,UNI-USDC
2022-07-28,1658937600000,6.786,9.458,6.758,9.149,1374728.5667,11156081.9932,11156081.9932,1,UNI-USDC
2022-07-29,1659024000000,9.147,9.821,8.626,9.045,1146253.3817,10476389.0172,10476389.0172,1,UNI-USDC
2022-07-30,1659110400000,9.05,9.181,8.64,9.038,741694.5799,6609755.538,6609755.538,1,UNI-USDC
2022-07-31,1659196800000,9.035,9.15,8.524,8.887,642768.6909,5687360.3537,5687360.3537,1,UNI-USDC
2022-08-01,1659283200000,8.89,9.136,8.115,8.403,658244.2147,5611639.382,5611639.382,1,UNI-USDC
2022-08-02,1659369600000,8.414,8.441,7.812,8.293,709362.1083,5731131.6605,5731131.6605,1,UNI-USDC
2022-08-03,1659456000000,8.303,9.388,8.037,9.07,635931.6057,5532062.3023,5532062.3023,1,UNI-USDC
2022-08-04,1659542400000,9.065,9.184,8.632,8.765,646804.0143,5763725.3445,5763725.3445,1,UNI-USDC
2022-08-05,1659628800000,8.761,9.268,8.538,8.957,485517.4137,4341837.9579,4341837.9579,1,UNI-USDC
2022-08-06,1659715200000,8.939,9.147,8.852,8.93,349626.4642,3138936.7287,3138936.7287,1,UNI-USDC
2022-08-07,1659801600000,8.919,8.967,8.685,8.841,261653.46,2314353.2818,2314353.2818,1,UNI-USDC
2022-08-08,1659888000000,8.835,9.274,8.753,8.908,364099.4057,3286986.2383,3286986.2383,1,UNI-USDC
2022-08-09,1659974400000,8.905,8.975,8.1,8.211,428929.1983,3704034.3035,3704034.3035,1,UNI-USDC
2022-08-10,1660060800000,8.216,9.434,8.195,9.302,520107.5751,4551208.194,4551208.194,1,UNI-USDC
2022-08-11,1660147200000,9.301,9.603,9.007,9.255,522901.0108,4841533.7904,4841533.7904,1,UNI-USDC
2022-08-12,1660233600000,9.25,9.324,8.743,9.061,445240.632,4018417.5171,4018417.5171,1,UNI-USDC
2022-08-13,1660320000000,9.055,9.339,8.913,9.102,386920.1875,3530384.1285,3530384.1285,1,UNI-USDC
2022-08-14,1660406400000,9.105,9.618,8.893,9.143,458066.5035,4247756.2649,4247756.2649,1,UNI-USDC
2022-08-15,1660492800000,9.142,9.164,8.47,8.682,503669.0516,4440904.1815,4440904.1815,1,UNI-USDC
2022-08-16,1660579200000,8.685,8.711,8.197,8.427,522912.9303,4399052.3889,4399052.3889,1,UNI-USDC
2022-08-17,1660665600000,8.421,8.671,7.94,8.023,608026.2555,5051402.9375,5051402.9375,1,UNI-USDC
2022-08-18,1660752000000,8.02,8.212,7.745,7.916,508743.9704,4086911.4579,4086911.4579,1,UNI-USDC
2022-08-19,1660838400000,7.925,7.959,6.853,7.112,862032.0055,6326838.4586,6326838.4586,1,UNI-USDC
2022-08-20,1660924800000,7.112,7.231,6.806,7.199,560371.6022,3964229.1454,3964229.1454,1,UNI-USDC
2022-08-21,1661011200000,7.195,7.262,6.707,7.164,578730.8372,4083153.1757,4083153.1757,1,UNI-USDC
2022-08-22,1661097600000,7.164,7.332,6.62,6.85,686919.2413,4830839.1046,4830839.1046,1,UNI-USDC
2022-08-23,1661184000000,6.847,7.21,6.687,7.114,809586.9834,5661584.6743,5661584.6743,1,UNI-USDC
2022-08-24,1661270400000,7.113,7.249,6.871,7.248,731169.2656,5153626.1898,5153626.1898,1,UNI-USDC
2022-08-25,1661356800000,7.249,7.285,6.94,6.983,538700.7827,3838453.8862,3838453.8862,1,UNI-USDC
2022-08-26,1661443200000,6.987,7.112,6.5,6.528,828177.6674,5669949.2964,5669949.2964,1,UNI-USDC
2022-08-27,1661529600000,6.526,6.552,5.953,6.035,875192.3691,5418894.83,5418894.83,1,UNI-USDC
2022-08-28,1661616000000,6.032,6.1,5.855,6.016,608104.6285,3648107.7003,3648107.7003,1,UNI-USDC
2022-08-29,1661702400000,6.024,6.29,5.683,6.209,701744.6798,4186880.1151,4186880.1151,1,UNI-USDC
2022-08-30,1661788800000,6.211,6.455,6.019,6.09,691927.6136,4354970.9755,4354970.9755,1,UNI-USDC
