Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-11,1515600000000,0.9064,1.0773,0.531,0.9225,5270.594314,4111.962633,4111.962633,1,UTK-USDT
2018-01-12,1515686400000,0.9239,0.9303,0.8386,0.8829,3582.24979,3227.248637,3227.248637,1,UTK-USDT
2018-01-13,1515772800000,0.8827,0.925,0.8569,0.8569,533.957141,472.322464,472.322464,1,UTK-USDT
2018-01-14,1515859200000,0.8564,0.9294,0.6702,0.6931,5826.939252,4502.200822,4502.200822,1,UTK-USDT
2018-01-15,1515945600000,0.66,0.711,0.6102,0.6362,5503.582785,3593.118207,3593.118207,1,UTK-USDT
2018-01-16,1516032000000,0.6398,0.7213,0.281,0.6298,16400.648822,8672.48203,8672.48203,1,UTK-USDT
2018-01-17,1516118400000,0.5614,1.1565,0.4,0.5706,25675.182806,17242.687531,17242.687531,1,UTK-USDT
2018-01-18,1516204800000,0.5705,0.8498,0.5454,0.7237,24396.112579,18021.402233,18021.402233,1,UTK-USDT
2018-01-19,1516291200000,0.7272,0.766,0.6429,0.6543,8643.372263,6055.268368,6055.268368,1,UTK-USDT
2018-01-20,1516377600000,0.6612,0.7277,0.5999,0.6782,7044.832397,4680.331789,4680.331789,1,UTK-USDT
2018-01-21,1516464000000,0.6473,0.6999,0.5131,0.5757,30927.077218,19039.606917,19039.606917,1,UTK-USDT
2018-01-22,1516550400000,0.5621,0.64,0.1049,0.4728,53697.233941,25265.10352,25265.10352,1,UTK-USDT
2018-01-23,1516636800000,0.46,0.5788,0.4321,0.4941,41455.54322,22371.084949,22371.084949,1,UTK-USDT
2018-01-24,1516723200000,0.5006,0.65,0.4511,0.4949,94269.722978,49433.28537,49433.28537,1,UTK-USDT
2018-01-25,1516809600000,0.4918,0.5219,0.46,0.4657,73732.73895,35202.659658,35202.659658,1,UTK-USDT
2018-01-26,1516896000000,0.4801,0.4854,0.3634,0.4249,50280.898115,21656.16659,21656.16659,1,UTK-USDT
2018-01-27,1516982400000,0.42,0.4845,0.4187,0.4839,130523.247755,61220.753334,61220.753334,1,UTK-USDT
2018-01-28,1517068800000,0.4839,0.5068,0.4577,0.4692,21578.072004,10533.825892,10533.825892,1,UTK-USDT
2018-01-29,1517155200000,0.4692,0.4924,0.393,0.4102,46575.236286,20034.789988,20034.789988,1,UTK-USDT
2018-01-30,1517241600000,0.4099,0.4214,0.3499,0.3548,25556.523115,9794.042544,9794.042544,1,UTK-USDT
2018-01-31,1517328000000,0.3504,0.3585,0.3173,0.3392,7727.089556,2613.705147,2613.705147,1,UTK-USDT
2018-02-01,1517414400000,0.3367,0.3553,0.258,0.2602,30204.895779,9356.736645,9356.736645,1,UTK-USDT
2018-02-02,1517500800000,0.2903,0.3558,0.2018,0.2899,89460.151821,24530.420619,24530.420619,1,UTK-USDT
2018-02-03,1517587200000,0.2899,0.46,0.2682,0.3704,207131.628401,74022.364509,74022.364509,1,UTK-USDT
2018-02-04,1517673600000,0.39,0.4129,0.2909,0.324,98929.864229,37708.885326,37708.885326,1,UTK-USDT
2018-02-05,1517760000000,0.3234,0.3326,0.2152,0.2353,23703.652636,7285.380229,7285.380229,1,UTK-USDT
2018-02-06,1517846400000,0.2756,0.3499,0.1582,0.2841,64326.975399,16602.043966,16602.043966,1,UTK-USDT
2018-02-07,1517932800000,0.2839,0.3627,0.2645,0.3421,41158.513081,13161.834564,13161.834564,1,UTK-USDT
2018-02-08,1518019200000,0.3559,0.3624,0.2726,0.3121,19407.906636,6278.994455,6278.994455,1,UTK-USDT
2018-02-09,1518105600000,0.3279,0.3328,0.27,0.3183,3202.345554,962.212445,962.212445,1,UTK-USDT
2018-02-10,1518192000000,0.316,0.334,0.2698,0.28,32178.596761,9915.805102,9915.805102,1,UTK-USDT
2018-02-11,1518278400000,0.2747,0.2894,0.255,0.2831,10701.955684,2879.547724,2879.547724,1,UTK-USDT
