Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-06-15,1528992000000,0.0005600000,0.0005730000,0.0005100000,0.0005100000,21662.8943947400,11.9217020600,11.9217020600,1,WAVES-BTC
2018-06-16,1529078400000,0.0005190000,0.0005300000,0.0004990000,0.0005210000,2460.4459569200,1.2719421200,1.2719421200,1,WAVES-BTC
2018-06-17,1529164800000,0.0005180000,0.0005330000,0.0005100000,0.0005150000,546.3560219600,0.2804733000,0.2804733000,1,WAVES-BTC
2018-06-18,1529251200000,0.0005100000,0.0005350000,0.0005100000,0.0005290000,2012.4645758900,1.0529611900,1.0529611900,1,WAVES-BTC
2018-06-19,1529337600000,0.0005290000,0.0005390000,0.0005100000,0.0005390000,1837.9812359100,0.9598368900,0.9598368900,1,WAVES-BTC
2018-06-20,1529424000000,0.0005200000,0.0005390000,0.0005050000,0.0005330000,6040.7662977600,3.1754225900,3.1754225900,1,WAVES-BTC
2018-06-21,1529510400000,0.0005330000,0.0005890000,0.0005150000,0.0005150000,9729.2801857500,5.2753057000,5.2753057000,1,WAVES-BTC
2018-06-22,1529596800000,0.0005290000,0.0005300000,0.0004840000,0.0004840000,2989.2475006800,1.5243782800,1.5243782800,1,WAVES-BTC
2018-06-23,1529683200000,0.0004820000,0.0004850000,0.0004580000,0.0004730000,1059.8019119400,0.5014084300,0.5014084300,1,WAVES-BTC
2018-06-24,1529769600000,0.0004570000,0.0004820000,0.0004340000,0.0004480000,926.0362109800,0.4295306500,0.4295306500,1,WAVES-BTC
2018-06-25,1529856000000,0.0004300000,0.0004410000,0.0004120000,0.0004410000,4803.1295868500,2.0810548300,2.0810548300,1,WAVES-BTC
2018-06-26,1529942400000,0.0004360000,0.0004390000,0.0004290000,0.0004290000,612.0709709400,0.2679112700,0.2679112700,1,WAVES-BTC
2018-06-27,1530028800000,0.0004110000,0.0004220000,0.0004080000,0.0004220000,420.4792869800,0.1767253500,0.1767253500,1,WAVES-BTC
2018-06-28,1530115200000,0.0004210000,0.0004660000,0.0004210000,0.0004430000,3338.8740089100,1.5062978300,1.5062978300,1,WAVES-BTC
2018-06-29,1530201600000,0.0004230000,0.0004230000,0.0004180000,0.0004180000,250.1800807600,0.1059195300,0.1059195300,1,WAVES-BTC
2018-06-30,1530288000000,0.0004200000,0.0004860000,0.0004200000,0.0004420000,1975.6544440700,0.8900406700,0.8900406700,1,WAVES-BTC
2018-07-01,1530374400000,0.0004420000,0.0004600000,0.0004390000,0.0004510000,89.2242960400,0.0401560600,0.0401560600,1,WAVES-BTC
2018-07-02,1530460800000,0.0004460000,0.0004660000,0.0004460000,0.0004620000,1036.0085620800,0.4810478000,0.4810478000,1,WAVES-BTC
2018-07-03,1530547200000,0.0004610000,0.0004830000,0.0004610000,0.0004830000,652.5545061200,0.3086401400,0.3086401400,1,WAVES-BTC
2018-07-04,1530633600000,0.0004660000,0.0004660000,0.0004550000,0.0004650000,25.3081628700,0.0116635700,0.0116635700,1,WAVES-BTC
