Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-09-13,1599926400000,27.6200000000,28.5600000000,27.6200000000,28.4800000000,11.5656000000,324.5606000000,324.5606000000,1,WBTC-ETH
2020-09-14,1600012800000,28.5400000000,28.9300000000,28.0500000000,28.3300000000,29.0908000000,826.7395000000,826.7395000000,1,WBTC-ETH
2020-09-15,1600099200000,28.3400000000,29.9800000000,28.2100000000,29.4800000000,31.4808000000,897.2284000000,897.2284000000,1,WBTC-ETH
2020-09-16,1600185600000,29.4800000000,30.0800000000,29.2700000000,29.7100000000,21.0066000000,625.6823000000,625.6823000000,1,WBTC-ETH
2020-09-17,1600272000000,29.7000000000,30.1900000000,28.2000000000,28.4900000000,69.8041000000,2015.7520000000,2015.7520000000,1,WBTC-ETH
2020-09-18,1600358400000,28.4900000000,28.6200000000,27.3200000000,28.5100000000,39.0760000000,1105.4697000000,1105.4697000000,1,WBTC-ETH
2020-09-19,1600444800000,28.5500000000,29.0000000000,28.3500000000,28.8400000000,26.0320000000,746.8442000000,746.8442000000,1,WBTC-ETH
2020-09-20,1600531200000,28.8600000000,29.2500000000,28.6500000000,29.2500000000,23.1559000000,668.1928000000,668.1928000000,1,WBTC-ETH
2020-09-21,1600617600000,29.3000000000,31.1900000000,29.1500000000,30.6100000000,26.3605000000,788.9668000000,788.9668000000,1,WBTC-ETH
2020-09-22,1600704000000,30.6500000000,30.9800000000,30.1300000000,30.6200000000,17.3616000000,530.0934000000,530.0934000000,1,WBTC-ETH
2020-09-23,1600790400000,30.6100000000,31.1900000000,30.4100000000,30.8900000000,20.5867000000,633.5522000000,633.5522000000,1,WBTC-ETH
2020-09-24,1600876800000,30.8700000000,32.3000000000,30.4300000000,30.6000000000,25.0097000000,783.6653000000,783.6653000000,1,WBTC-ETH
2020-09-25,1600963200000,30.6600000000,31.3800000000,30.5000000000,30.7100000000,23.6721000000,731.4524000000,731.4524000000,1,WBTC-ETH
2020-09-26,1601049600000,30.6500000000,30.8100000000,30.0500000000,30.4600000000,27.1952000000,829.6680000000,829.6680000000,1,WBTC-ETH
2020-09-27,1601136000000,30.4400000000,30.5200000000,29.8200000000,30.2600000000,18.1123000000,546.6102000000,546.6102000000,1,WBTC-ETH
2020-09-28,1601222400000,30.2500000000,30.5600000000,29.8500000000,29.9000000000,17.4577000000,528.4665000000,528.4665000000,1,WBTC-ETH
2020-09-29,1601308800000,29.9100000000,30.4500000000,29.6900000000,30.2000000000,18.5479000000,558.4804000000,558.4804000000,1,WBTC-ETH
2020-09-30,1601395200000,30.1900000000,30.3600000000,30.0300000000,30.1700000000,15.7609000000,475.8380000000,475.8380000000,1,WBTC-ETH
2020-10-01,1601481600000,30.1400000000,30.2100000000,29.5400000000,29.7200000000,14.6749000000,438.3476000000,438.3476000000,1,WBTC-ETH
2020-10-02,1601568000000,29.6800000000,31.0600000000,29.6800000000,30.6400000000,17.4442000000,530.3602000000,530.3602000000,1,WBTC-ETH
2020-10-03,1601654400000,30.6600000000,30.7300000000,30.2300000000,30.3800000000,16.5373000000,504.2456000000,504.2456000000,1,WBTC-ETH
2020-10-04,1601740800000,30.3700000000,30.6600000000,30.1500000000,30.5800000000,20.7751000000,632.3457000000,632.3457000000,1,WBTC-ETH
2020-10-05,1601827200000,30.5500000000,30.5700000000,30.1800000000,30.4300000000,22.5063000000,683.2937000000,683.2937000000,1,WBTC-ETH
2020-10-06,1601913600000,30.3900000000,31.1400000000,30.3600000000,30.5500000000,20.6607000000,631.8873000000,631.8873000000,1,WBTC-ETH
2020-10-07,1602000000000,30.5200000000,31.6800000000,30.5100000000,31.2000000000,15.2901000000,476.3601000000,476.3601000000,1,WBTC-ETH
2020-10-08,1602086400000,31.2300000000,31.5900000000,31.1300000000,31.1900000000,15.8773000000,497.3879000000,497.3879000000,1,WBTC-ETH
2020-10-09,1602172800000,31.2000000000,31.2200000000,30.3500000000,30.3800000000,18.4576000000,571.9341000000,571.9341000000,1,WBTC-ETH
2020-10-10,1602259200000,30.3400000000,30.5600000000,30.0900000000,30.4400000000,48.9372000000,1485.7781000000,1485.7781000000,1,WBTC-ETH
2020-10-11,1602345600000,30.4400000000,30.6000000000,30.2000000000,30.3800000000,169.9857000000,5174.6839000000,5174.6839000000,1,WBTC-ETH
2020-10-12,1602432000000,30.4000000000,30.7500000000,29.8100000000,29.9500000000,170.6415000000,5187.3524000000,5187.3524000000,1,WBTC-ETH
2020-10-13,1602518400000,29.9500000000,30.1900000000,29.6000000000,30.0400000000,171.5618000000,5125.1953000000,5125.1953000000,1,WBTC-ETH
2020-10-14,1602604800000,30.0500000000,30.1900000000,29.7600000000,30.1300000000,173.9555000000,5209.8963000000,5209.8963000000,1,WBTC-ETH
2020-10-15,1602691200000,30.1500000000,30.4700000000,29.9800000000,30.2700000000,165.6166000000,5006.5433000000,5006.5433000000,1,WBTC-ETH
2020-10-16,1602777600000,30.2500000000,31.0000000000,30.2400000000,30.7500000000,130.6481000000,3983.2440000000,3983.2440000000,1,WBTC-ETH
2020-10-17,1602864000000,30.7500000000,30.9400000000,30.6700000000,30.8300000000,171.7425000000,5289.5783000000,5289.5783000000,1,WBTC-ETH
2020-10-18,1602950400000,30.8300000000,30.9800000000,30.4000000000,30.4900000000,171.4612000000,5275.2847000000,5275.2847000000,1,WBTC-ETH
2020-10-19,1603036800000,30.4600000000,30.7700000000,30.3200000000,30.7300000000,169.3954000000,5171.8030000000,5171.8030000000,1,WBTC-ETH
2020-10-20,1603123200000,30.7100000000,32.3900000000,30.6800000000,32.1300000000,174.5048000000,5447.5890000000,5447.5890000000,1,WBTC-ETH
