Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-09-16,1600185600000,100.0,250.0,61.0,66.13,109261.3022,13888090.2012,13888090.2012,1,WING-USDT
2020-09-17,1600272000000,66.14,105.0,51.97,57.88,213658.1051,16434546.5186,16434546.5186,1,WING-USDT
2020-09-18,1600358400000,57.87,69.31,52.1,56.97,70114.9385,4264135.031,4264135.031,1,WING-USDT
2020-09-19,1600444800000,56.98,78.79,51.61,68.72,97612.1199,6191148.1821,6191148.1821,1,WING-USDT
2020-09-20,1600531200000,68.77,75.0,52.5,55.46,58497.4794,3662564.3237,3662564.3237,1,WING-USDT
2020-09-21,1600617600000,55.46,57.95,37.01,41.72,49621.2865,2319700.7323,2319700.7323,1,WING-USDT
2020-09-22,1600704000000,41.85,45.32,32.66,34.02,40978.7654,1542525.4219,1542525.4219,1,WING-USDT
2020-09-23,1600790400000,34.03,39.01,27.45,28.45,52531.4861,1634011.2425,1634011.2425,1,WING-USDT
2020-09-24,1600876800000,28.44,31.23,23.91,25.71,57498.8737,1507142.4004,1507142.4004,1,WING-USDT
2020-09-25,1600963200000,25.71,32.96,24.73,25.92,49446.0475,1363109.5788,1363109.5788,1,WING-USDT
2020-09-26,1601049600000,25.93,28.0,23.52,24.84,31066.5167,806596.2477,806596.2477,1,WING-USDT
2020-09-27,1601136000000,24.84,26.01,21.02,21.71,38209.5686,870982.2091,870982.2091,1,WING-USDT
2020-09-28,1601222400000,21.72,30.0,18.67,19.34,55010.6906,1200539.1142,1200539.1142,1,WING-USDT
2020-09-29,1601308800000,19.35,20.81,16.1,16.95,41619.0375,760907.5153,760907.5153,1,WING-USDT
2020-09-30,1601395200000,16.95,21.21,14.29,14.87,44084.5589,694254.8199,694254.8199,1,WING-USDT
2020-10-01,1601481600000,14.87,19.9,14.79,17.47,83523.5915,1433771.6466,1433771.6466,1,WING-USDT
2020-10-02,1601568000000,17.47,23.72,16.2,18.91,154188.0929,2921983.9941,2921983.9941,1,WING-USDT
2020-10-03,1601654400000,18.91,30.95,18.67,25.79,216130.9953,5539878.3948,5539878.3948,1,WING-USDT
2020-10-04,1601740800000,26.06,26.85,20.0,20.75,107384.459,2541170.7121,2541170.7121,1,WING-USDT
2020-10-05,1601827200000,20.72,21.62,16.71,19.6,88240.2811,1661197.7203,1661197.7203,1,WING-USDT
2020-10-06,1601913600000,19.62,25.5,18.0,20.82,183612.8128,4093451.677,4093451.677,1,WING-USDT
2020-10-07,1602000000000,20.8,22.3,18.5,20.14,103729.8168,2120299.8035,2120299.8035,1,WING-USDT
2020-10-08,1602086400000,20.14,20.4,16.91,19.89,78513.8396,1474530.1049,1474530.1049,1,WING-USDT
2020-10-09,1602172800000,19.88,23.89,18.38,20.79,87120.9674,1872349.5525,1872349.5525,1,WING-USDT
2020-10-10,1602259200000,20.79,21.38,19.3,19.31,47542.8411,975314.4546,975314.4546,1,WING-USDT
2020-10-11,1602345600000,19.31,20.17,18.06,19.03,39894.8517,756829.1213,756829.1213,1,WING-USDT
2020-10-12,1602432000000,19.04,20.5,18.1,18.76,44901.1561,865275.7212,865275.7212,1,WING-USDT
2020-10-13,1602518400000,18.76,19.1,18.1,18.79,30041.6967,560735.8177,560735.8177,1,WING-USDT
2020-10-14,1602604800000,18.79,19.76,18.1,18.11,40315.7985,766370.5231,766370.5231,1,WING-USDT
2020-10-15,1602691200000,18.13,19.0,16.21,17.82,60838.6627,1076589.0091,1076589.0091,1,WING-USDT
2020-10-16,1602777600000,17.82,18.42,15.64,15.93,45501.9452,770352.2987,770352.2987,1,WING-USDT
2020-10-17,1602864000000,15.92,16.6,15.62,15.88,38779.4469,622453.1614,622453.1614,1,WING-USDT
2020-10-18,1602950400000,15.89,16.59,15.58,16.15,33237.5267,537652.4108,537652.4108,1,WING-USDT
2020-10-19,1603036800000,16.14,18.41,15.97,17.64,50772.3012,854323.3317,854323.3317,1,WING-USDT
2020-10-20,1603123200000,17.63,18.22,14.0,14.48,56962.7729,909406.5162,909406.5162,1,WING-USDT
2020-10-21,1603209600000,14.5,15.46,10.37,15.07,47701.5156,690247.564,690247.564,1,WING-USDT
2020-10-22,1603296000000,15.08,15.86,14.45,15.08,47029.3228,708117.4496,708117.4496,1,WING-USDT
2020-10-23,1603382400000,15.08,15.21,14.24,14.46,37228.8942,546879.3594,546879.3594,1,WING-USDT
2020-10-24,1603468800000,14.45,14.52,12.5,12.99,57267.9497,763088.3589,763088.3589,1,WING-USDT
2020-10-25,1603555200000,12.99,13.12,11.19,11.87,57731.5876,712883.067,712883.067,1,WING-USDT
2020-10-26,1603641600000,11.87,12.9,10.4,10.68,61145.8136,702003.4375,702003.4375,1,WING-USDT
2020-10-27,1603728000000,10.68,10.78,9.52,10.31,78044.7155,790816.5911,790816.5911,1,WING-USDT
2020-10-28,1603814400000,10.31,10.34,9.5,9.51,52925.2487,519842.2777,519842.2777,1,WING-USDT
2020-10-29,1603900800000,9.51,9.52,7.88,8.39,42762.3528,362737.2342,362737.2342,1,WING-USDT
2020-10-30,1603987200000,8.39,8.41,7.9,8.12,44472.6981,355869.0045,355869.0045,1,WING-USDT
2020-10-31,1604073600000,8.12,10.8,8.12,9.97,116609.0973,1115304.1351,1115304.1351,1,WING-USDT
2020-11-01,1604160000000,9.97,9.99,8.43,9.22,54783.4835,513608.8178,513608.8178,1,WING-USDT
2020-11-02,1604246400000,9.21,9.37,7.98,8.07,52052.7913,456955.1195,456955.1195,1,WING-USDT
2020-11-03,1604332800000,8.07,9.52,7.6,8.88,55957.7684,470670.6767,470670.6767,1,WING-USDT
2020-11-04,1604419200000,8.89,9.23,7.8,7.9,62471.2823,541265.7557,541265.7557,1,WING-USDT
2020-11-05,1604505600000,7.9,8.29,7.9,8.2,51828.6753,419652.5347,419652.5347,1,WING-USDT
2020-11-06,1604592000000,8.2,8.87,8.02,8.57,54768.1758,454618.7081,454618.7081,1,WING-USDT
2020-11-07,1604678400000,8.57,9.67,8.4,8.94,52161.6428,467890.0255,467890.0255,1,WING-USDT
2020-11-08,1604764800000,8.94,8.94,8.8,8.8,11660.8591,103005.1461,103005.1461,1,WING-USDT
2020-11-09,1604851200000,8.8,8.9,7.74,8.28,33013.6409,276284.7849,276284.7849,1,WING-USDT
2020-11-10,1604937600000,8.28,8.9,7.63,8.18,35748.3825,291206.5224,291206.5224,1,WING-USDT
2020-11-11,1605024000000,8.18,9.23,8.03,9.07,49834.6409,429367.9039,429367.9039,1,WING-USDT
2020-11-12,1605110400000,9.08,10.92,8.55,9.57,114287.8954,1123804.7818,1123804.7818,1,WING-USDT
2020-11-13,1605196800000,9.57,9.97,9.07,9.64,66052.6132,631943.0033,631943.0033,1,WING-USDT
2020-11-14,1605283200000,9.63,9.92,9.08,9.65,64926.1793,624369.9887,624369.9887,1,WING-USDT
2020-11-15,1605369600000,9.65,11.97,9.21,11.49,90557.894,946721.8493,946721.8493,1,WING-USDT
2020-11-16,1605456000000,11.49,13.95,11.3,13.5,147804.452,1840293.4576,1840293.4576,1,WING-USDT
2020-11-17,1605542400000,13.53,14.61,11.9,12.05,107693.6901,1427917.9509,1427917.9509,1,WING-USDT
2020-11-18,1605628800000,12.05,12.74,10.36,10.6,80494.9205,932266.5319,932266.5319,1,WING-USDT
