Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-08-28,1598544000000,32.61,96.0,32.61,47.86,555666.775,27258104.3916,27258104.3916,1,WNXM-USDT
2020-08-29,1598630400000,47.89,51.0,45.46,47.2,633682.1597,30224214.0055,30224214.0055,1,WNXM-USDT
2020-08-30,1598716800000,47.25,101.0,46.51,72.33,1314703.0253,79272398.443,79272398.443,1,WNXM-USDT
2020-08-31,1598803200000,72.32,78.5,61.72,65.59,583532.2142,40312811.0231,40312811.0231,1,WNXM-USDT
2020-09-01,1598889600000,65.63,75.0,60.0,67.47,642367.7305,43429310.7201,43429310.7201,1,WNXM-USDT
2020-09-02,1598976000000,67.46,74.3,55.79,58.11,626029.8672,40651477.2862,40651477.2862,1,WNXM-USDT
2020-09-03,1599062400000,58.08,62.02,48.51,49.42,589765.3363,33397396.1379,33397396.1379,1,WNXM-USDT
2020-09-04,1599148800000,49.61,52.22,39.05,40.97,1239782.3537,57502803.6191,57502803.6191,1,WNXM-USDT
2020-09-05,1599235200000,40.95,46.66,32.66,37.55,1010840.3036,41105348.4964,41105348.4964,1,WNXM-USDT
2020-09-06,1599321600000,37.66,39.57,30.5,36.35,1542395.3072,52772136.7735,52772136.7735,1,WNXM-USDT
2020-09-07,1599408000000,36.27,42.55,34.25,38.65,1151458.7701,44324085.9916,44324085.9916,1,WNXM-USDT
2020-09-08,1599494400000,38.33,41.52,35.4,36.7,928586.5333,35600388.5327,35600388.5327,1,WNXM-USDT
2020-09-09,1599580800000,36.74,39.24,34.85,38.55,703540.1572,25950577.4864,25950577.4864,1,WNXM-USDT
2020-09-10,1599667200000,38.45,45.0,36.44,42.32,507902.9911,19958216.4319,19958216.4319,1,WNXM-USDT
2020-09-11,1599753600000,42.12,47.4,39.37,45.61,69286.7765,2995892.3393,2995892.3393,1,WNXM-USDT
2020-09-12,1599840000000,46.13,55.84,45.03,53.97,67758.5031,3410874.3607,3410874.3607,1,WNXM-USDT
2020-09-13,1599926400000,53.89,61.0,46.65,47.1,89771.2323,4959416.7817,4959416.7817,1,WNXM-USDT
