Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-12-15,1639497600000,0.6000000000,0.9400000000,0.6000000000,0.6899000000,7272054.8279999997,5629774.3449839996,5629774.3449839996,1,WOO-USDT
2021-12-16,1639584000000,0.6880000000,0.7830000000,0.6752000000,0.7764000000,3827968.1615019999,2832868.3440500000,2832868.3440500000,1,WOO-USDT
2021-12-17,1639670400000,0.7762000000,0.7850000000,0.6676000000,0.6987000000,2808562.0734480000,2052582.4083010000,2052582.4083010000,1,WOO-USDT
2021-12-18,1639756800000,0.6986000000,0.7730000000,0.6911000000,0.7450000000,1925920.2061270000,1384682.3071999999,1384682.3071999999,1,WOO-USDT
2021-12-19,1639843200000,0.7453000000,0.7800000000,0.7097000000,0.7456000000,1740216.8374340001,1302879.7951090001,1302879.7951090001,1,WOO-USDT
2021-12-20,1639929600000,0.7455000000,0.7630000000,0.6486000000,0.6738000000,2705795.5184479998,1886384.5238079999,1886384.5238079999,1,WOO-USDT
2021-12-21,1640016000000,0.6740000000,0.7746000000,0.6740000000,0.7470000000,2151367.4713380001,1568672.1331470001,1568672.1331470001,1,WOO-USDT
2021-12-22,1640102400000,0.7470000000,0.8823000000,0.7468000000,0.8494000000,2581605.5164210000,2136582.0712060002,2136582.0712060002,1,WOO-USDT
2021-12-23,1640188800000,0.8491000000,0.9200000000,0.8401000000,0.8925000000,2047837.0113490000,1807242.9936120000,1807242.9936120000,1,WOO-USDT
2021-12-24,1640275200000,0.8929000000,0.9651000000,0.8868000000,0.8909000000,1758708.6896850001,1625007.9281170000,1625007.9281170000,1,WOO-USDT
2021-12-25,1640361600000,0.8911000000,0.9829000000,0.8700000000,0.9696000000,1713478.1521580000,1585833.9544929999,1585833.9544929999,1,WOO-USDT
2021-12-26,1640448000000,0.9697000000,0.9733000000,0.9136000000,0.9381000000,1307827.2946140000,1230464.8435300000,1230464.8435300000,1,WOO-USDT
2021-12-27,1640534400000,0.9381000000,1.1000000000,0.9380000000,1.0707000000,3229031.2098889998,3268995.6802190002,3268995.6802190002,1,WOO-USDT
2021-12-28,1640620800000,1.0705000000,1.0950000000,0.9441000000,0.9993000000,3121599.0880249999,3119142.5285999998,3119142.5285999998,1,WOO-USDT
2021-12-29,1640707200000,0.9982000000,1.0026000000,0.8652000000,0.9502000000,4624252.9387039999,4239430.7560500000,4239430.7560500000,1,WOO-USDT
2021-12-30,1640793600000,0.9502000000,0.9558000000,0.8219000000,0.8929000000,2549307.1076050000,2246068.0600270000,2246068.0600270000,1,WOO-USDT
2021-12-31,1640880000000,0.8926000000,0.9278000000,0.8537000000,0.9022000000,1910755.0655910000,1702100.6304039999,1702100.6304039999,1,WOO-USDT
2022-01-01,1640966400000,0.9025000000,0.9071000000,0.8458000000,0.8762000000,1313297.6980999999,1142138.4363810001,1142138.4363810001,1,WOO-USDT
2022-01-02,1641052800000,0.8764000000,0.9866000000,0.8691000000,0.9744000000,2132768.5077530001,2006786.2936660000,2006786.2936660000,1,WOO-USDT
2022-01-03,1641139200000,0.9746000000,1.0800000000,0.9422000000,0.9601000000,3727307.6362979999,3673743.4189240001,3673743.4189240001,1,WOO-USDT
2022-01-04,1641225600000,0.9602000000,1.2100000000,0.9000000000,1.1191000000,8355286.0195869999,9014409.0495439991,9014409.0495439991,1,WOO-USDT
2022-01-05,1641312000000,1.1192000000,1.2965000000,1.0728000000,1.1688000000,8308431.5103979986,9758273.6277879998,9758273.6277879998,1,WOO-USDT
2022-01-06,1641398400000,1.1690000000,1.2000000000,0.9280000000,1.0227000000,6506505.8418669999,6733295.6908740001,6733295.6908740001,1,WOO-USDT
2022-01-07,1641484800000,1.0225000000,1.0831000000,0.9013000000,0.9245000000,5016198.3279050002,4925263.4686530000,4925263.4686530000,1,WOO-USDT
2022-01-08,1641571200000,0.9244000000,1.0028000000,0.9142000000,0.9304000000,2515142.1453740001,2411522.4014889998,2411522.4014889998,1,WOO-USDT
2022-01-09,1641657600000,0.9303000000,0.9405000000,0.8480000000,0.8942000000,2526848.0256289998,2256132.1396539998,2256132.1396539998,1,WOO-USDT
2022-01-10,1641744000000,0.8914000000,1.0000000000,0.8460000000,0.9113000000,3815259.8720240002,3523655.1412300002,3523655.1412300002,1,WOO-USDT
2022-01-11,1641830400000,0.9113000000,0.9702000000,0.8793000000,0.9336000000,2174220.1907950002,2017351.8697889999,2017351.8697889999,1,WOO-USDT
2022-01-12,1641916800000,0.9334000000,1.0599000000,0.9323000000,1.0132000000,2445474.8208800000,2447821.6546900002,2447821.6546900002,1,WOO-USDT
2022-01-13,1642003200000,1.0141000000,1.0608000000,0.9800000000,0.9959000000,1759014.6663589999,1806082.9872570001,1806082.9872570001,1,WOO-USDT
2022-01-14,1642089600000,0.9961000000,1.0029000000,0.9200000000,0.9873000000,1704836.2456819999,1635325.7540960000,1635325.7540960000,1,WOO-USDT
2022-01-15,1642176000000,0.9874000000,1.0105000000,0.9608000000,0.9660000000,1006270.6424630000,990229.4326530000,990229.4326530000,1,WOO-USDT
2022-01-16,1642262400000,0.9660000000,0.9827000000,0.9111000000,0.9345000000,1195152.5210030000,1124223.4729319999,1124223.4729319999,1,WOO-USDT
2022-01-17,1642348800000,0.9345000000,0.9561000000,0.8419000000,0.8506000000,2062461.0054639999,1842865.1855980000,1842865.1855980000,1,WOO-USDT
2022-01-18,1642435200000,0.8502000000,0.8838000000,0.7770000000,0.7855000000,2872817.5544139999,2384481.0591360000,2384481.0591360000,1,WOO-USDT
2022-01-19,1642521600000,0.7859000000,0.8451000000,0.7523000000,0.7714000000,2991926.4399080002,2376569.7603549999,2376569.7603549999,1,WOO-USDT
2022-01-20,1642608000000,0.7714000000,0.9600000000,0.7685000000,0.9203000000,4139255.2306679999,3535433.8201420000,3535433.8201420000,1,WOO-USDT
2022-01-21,1642694400000,0.9202000000,0.9500000000,0.7107000000,0.7522000000,4868906.4470819999,3800153.0643239999,3800153.0643239999,1,WOO-USDT
2022-01-22,1642780800000,0.7520000000,0.7725000000,0.4700000000,0.5232000000,10339737.1373510007,6151278.1701050000,6151278.1701050000,1,WOO-USDT
2022-01-23,1642867200000,0.5231000000,0.6466000000,0.5076000000,0.5696000000,6983230.8400290003,4054026.0217019999,4054026.0217019999,1,WOO-USDT
2022-01-24,1642953600000,0.5695000000,0.6350000000,0.4920000000,0.5640000000,6714436.5411959998,3707512.2103889999,3707512.2103889999,1,WOO-USDT
2022-01-25,1643040000000,0.5636000000,0.6733000000,0.5245000000,0.6383000000,8371022.7132069999,5111986.4084240003,5111986.4084240003,1,WOO-USDT
2022-01-26,1643126400000,0.6368000000,0.6880000000,0.6103000000,0.6504000000,4031228.1411100002,2585910.9464179999,2585910.9464179999,1,WOO-USDT
2022-01-27,1643212800000,0.6487000000,0.6764000000,0.5580000000,0.6094000000,4243187.4033169998,2588403.5001170002,2588403.5001170002,1,WOO-USDT
2022-01-28,1643299200000,0.6095000000,0.6409000000,0.5438000000,0.5729000000,3455420.5298890001,2009629.3687509999,2009629.3687509999,1,WOO-USDT
2022-01-29,1643385600000,0.5728000000,0.6161000000,0.5560000000,0.5888000000,3025693.6476400001,1763397.9918000000,1763397.9918000000,1,WOO-USDT
2022-01-30,1643472000000,0.5887000000,0.6219000000,0.5688000000,0.5868000000,2016857.6816070001,1197290.2137559999,1197290.2137559999,1,WOO-USDT
2022-01-31,1643558400000,0.5869000000,0.6010000000,0.5172000000,0.5558000000,2605957.6363990000,1405672.0674960001,1405672.0674960001,1,WOO-USDT
2022-02-01,1643644800000,0.5559000000,0.6047000000,0.5543000000,0.5725000000,3259913.1907910001,1884288.2160110001,1884288.2160110001,1,WOO-USDT
2022-02-02,1643731200000,0.5724000000,0.5975000000,0.5344000000,0.5346000000,1804294.4479189999,1036850.9401440000,1036850.9401440000,1,WOO-USDT
2022-02-03,1643817600000,0.5347000000,0.5533000000,0.5000000000,0.5238000000,1953509.1107109999,1022272.4713940000,1022272.4713940000,1,WOO-USDT
2022-02-04,1643904000000,0.5239000000,0.6000000000,0.5236000000,0.5887000000,2515959.3267450002,1407911.1657340000,1407911.1657340000,1,WOO-USDT
2022-02-05,1643990400000,0.5887000000,0.6876000000,0.5880000000,0.6588000000,4313288.3086219998,2737900.7798380000,2737900.7798380000,1,WOO-USDT
2022-02-06,1644076800000,0.6584000000,0.6650000000,0.6102000000,0.6239000000,2625775.9415529999,1663482.7009270000,1663482.7009270000,1,WOO-USDT
2022-02-07,1644163200000,0.6239000000,0.7050000000,0.6188000000,0.6967000000,2822742.6356569999,1878799.7517380000,1878799.7517380000,1,WOO-USDT
2022-02-08,1644249600000,0.6970000000,0.8751000000,0.6760000000,0.7367000000,9237190.4436629992,7306344.5801950004,7306344.5801950004,1,WOO-USDT
2022-02-09,1644336000000,0.7364000000,0.8075000000,0.6915000000,0.7347000000,2629278.9307630002,1955740.2254780000,1955740.2254780000,1,WOO-USDT
2022-02-10,1644422400000,0.7346000000,0.7619000000,0.6629000000,0.7040000000,2047107.3613430001,1469087.1067260001,1469087.1067260001,1,WOO-USDT
2022-02-11,1644508800000,0.7043000000,0.7351000000,0.6350000000,0.6735000000,2054180.6880330001,1384523.9289330000,1384523.9289330000,1,WOO-USDT
2022-02-12,1644595200000,0.6752000000,0.6771000000,0.5558000000,0.5763000000,2380147.8384360000,1415967.9868020001,1415967.9868020001,1,WOO-USDT
2022-02-13,1644681600000,0.5759000000,0.6086000000,0.5584000000,0.5700000000,1212726.9726219999,700891.0645890000,700891.0645890000,1,WOO-USDT
2022-02-14,1644768000000,0.5701000000,0.5708000000,0.5237000000,0.5489000000,1706386.5926649999,927443.7877840000,927443.7877840000,1,WOO-USDT
2022-02-15,1644854400000,0.5488000000,0.6183000000,0.5419000000,0.5980000000,2379388.9182569999,1377872.4148430000,1377872.4148430000,1,WOO-USDT
2022-02-16,1644940800000,0.5981000000,0.6101000000,0.5668000000,0.5834000000,1149835.9835300001,676802.1920560000,676802.1920560000,1,WOO-USDT
2022-02-17,1645027200000,0.5833000000,0.6058000000,0.5320000000,0.5369000000,1581699.2626300000,905911.6755210001,905911.6755210001,1,WOO-USDT
2022-02-18,1645113600000,0.5379000000,0.5516000000,0.4964000000,0.5080000000,1570343.2995819999,830895.1031400000,830895.1031400000,1,WOO-USDT
2022-02-19,1645200000000,0.5080000000,0.5228000000,0.4900000000,0.4992000000,1347414.6317020000,682726.0846250000,682726.0846250000,1,WOO-USDT
2022-02-20,1645286400000,0.4994000000,0.5079000000,0.4160000000,0.4399000000,2655822.2951070000,1206986.9343280001,1206986.9343280001,1,WOO-USDT
2022-02-21,1645372800000,0.4399000000,0.4770000000,0.4074000000,0.4483000000,2767446.0126979998,1222994.2503090000,1222994.2503090000,1,WOO-USDT
