Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2019-07-01,1561910400000,2.88e-06,2.88e-06,2.88e-06,2.88e-06,0.0,0.0,0.0,1,WXT-BTC
2019-07-03,1562083200000,2.88e-06,3.99e-06,2.48e-06,2.78e-06,9739070.847,26.9858,26.9858,1,WXT-BTC
2019-07-04,1562169600000,2.74e-06,3.17e-06,2.2e-06,2.46e-06,45049703.6492,123.3767,123.3767,1,WXT-BTC
2019-07-05,1562256000000,2.45e-06,2.89e-06,2.26e-06,2.56e-06,97317304.4723,239.0401,239.0401,1,WXT-BTC
2019-07-06,1562342400000,2.55e-06,2.85e-06,2.36e-06,2.45e-06,118787349.0312,301.755,301.755,1,WXT-BTC
2019-07-07,1562428800000,2.45e-06,2.59e-06,2.28e-06,2.39e-06,55522412.4578,136.9821,136.9821,1,WXT-BTC
2019-07-08,1562515200000,2.39e-06,2.45e-06,1.91e-06,1.97e-06,71448921.0391,150.5936,150.5936,1,WXT-BTC
2019-07-09,1562601600000,1.98e-06,2.09e-06,1.57e-06,1.96e-06,33273314.6378,61.6114,61.6114,1,WXT-BTC
2019-07-10,1562688000000,1.95e-06,2.34e-06,1.77e-06,2.02e-06,32396052.65,64.973,64.973,1,WXT-BTC
2019-07-11,1562774400000,2e-06,2.27e-06,1.92e-06,2.14e-06,18990192.3183,39.8776,39.8776,1,WXT-BTC
2019-07-12,1562860800000,2.14e-06,2.37e-06,2.06e-06,2.25e-06,13321114.8869,29.7143,29.7143,1,WXT-BTC
2019-07-13,1562947200000,2.25e-06,2.52e-06,2.14e-06,2.45e-06,14174148.6846,33.55,33.55,1,WXT-BTC
2019-07-14,1563033600000,2.43e-06,2.69e-06,2.29e-06,2.5e-06,42144348.9873,103.7464,103.7464,1,WXT-BTC
2019-07-15,1563120000000,2.5e-06,2.67e-06,2.24e-06,2.33e-06,73791754.4484,177.3149,177.3149,1,WXT-BTC
2019-07-16,1563206400000,2.32e-06,2.51e-06,2.24e-06,2.36e-06,57854031.8195,135.6556,135.6556,1,WXT-BTC
2019-07-17,1563292800000,2.36e-06,2.81e-06,2.32e-06,2.42e-06,70079895.191,177.0699,177.0699,1,WXT-BTC
2019-07-18,1563379200000,2.44e-06,2.84e-06,2.34e-06,2.4e-06,80229181.6862,199.4923,199.4923,1,WXT-BTC
2019-07-19,1563465600000,2.4e-06,2.67e-06,2.33e-06,2.58e-06,65634902.0826,161.6949,161.6949,1,WXT-BTC
2019-07-20,1563552000000,2.58e-06,2.63e-06,2.41e-06,2.55e-06,30616707.441,77.6657,77.6657,1,WXT-BTC
2019-07-21,1563638400000,2.57e-06,2.62e-06,2.36e-06,2.47e-06,30844655.5333,76.1596,76.1596,1,WXT-BTC
2019-07-22,1563724800000,2.48e-06,2.52e-06,2.21e-06,2.3e-06,45446556.964,107.1552,107.1552,1,WXT-BTC
2019-07-23,1563811200000,2.3e-06,2.44e-06,2.25e-06,2.4e-06,34544141.1872,80.9838,80.9838,1,WXT-BTC
2019-07-24,1563897600000,2.4e-06,2.47e-06,2.24e-06,2.34e-06,32195261.0378,76.9918,76.9918,1,WXT-BTC
2019-07-25,1563984000000,2.35e-06,2.52e-06,2.25e-06,2.3e-06,37331271.2869,87.9587,87.9587,1,WXT-BTC
2019-07-26,1564070400000,2.29e-06,2.4e-06,2.13e-06,2.29e-06,45177151.7359,103.6874,103.6874,1,WXT-BTC
2019-07-27,1564156800000,2.28e-06,2.67e-06,2.2e-06,2.41e-06,50990574.854,121.4865,121.4865,1,WXT-BTC
2019-07-28,1564243200000,2.41e-06,2.52e-06,2.32e-06,2.35e-06,61163787.4044,147.3683,147.3683,1,WXT-BTC
