Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-05-04,1620057600000,0.0300000000,0.0400000000,0.0081500000,0.0131580000,4825.4414639700,60.9798693200,60.9798693200,1,XCH-BTC
2021-05-05,1620144000000,0.0131580000,0.0141000000,0.0111000000,0.0114120000,1267.2646488900,15.6391042300,15.6391042300,1,XCH-BTC
2021-05-06,1620230400000,0.0114120000,0.0117000000,0.0096590000,0.0107220000,1764.5050933600,18.8300138600,18.8300138600,1,XCH-BTC
2021-05-07,1620316800000,0.0107460000,0.0190220000,0.0100000000,0.0173400000,2527.7722734500,33.3798313400,33.3798313400,1,XCH-BTC
2021-05-08,1620403200000,0.0174060000,0.0260000000,0.0152100000,0.0207620000,2896.0550883400,59.1457615800,59.1457615800,1,XCH-BTC
2021-05-09,1620489600000,0.0207620000,0.0233780000,0.0179750000,0.0194820000,1919.3128250400,39.0284733700,39.0284733700,1,XCH-BTC
2021-05-10,1620576000000,0.0194860000,0.0204200000,0.0152540000,0.0181910000,1395.0818333900,25.1420032600,25.1420032600,1,XCH-BTC
2021-05-11,1620662400000,0.0181780000,0.0218000000,0.0172670000,0.0182520000,1269.2591346700,24.5739453300,24.5739453300,1,XCH-BTC
2021-05-12,1620748800000,0.0182270000,0.0200160000,0.0175300000,0.0180620000,768.3371059600,14.1054167900,14.1054167900,1,XCH-BTC
2021-05-13,1620835200000,0.0180570000,0.0229000000,0.0168000000,0.0208860000,2130.6243702600,43.5148096100,43.5148096100,1,XCH-BTC
2021-05-14,1620921600000,0.0208490000,0.0347940000,0.0206020000,0.0261680000,3433.9393232400,89.9803091900,89.9803091900,1,XCH-BTC
2021-05-15,1621008000000,0.0261990000,0.0345670000,0.0253610000,0.0334370000,1669.5173809600,51.8932751700,51.8932751700,1,XCH-BTC
2021-05-16,1621094400000,0.0334240000,0.0345670000,0.0292350000,0.0296730000,796.0829369700,25.3150817800,25.3150817800,1,XCH-BTC
2021-05-17,1621180800000,0.0297030000,0.0329090000,0.0280720000,0.0296610000,1002.3866424600,29.9637572000,29.9637572000,1,XCH-BTC
2021-05-18,1621267200000,0.0299020000,0.0317340000,0.0290380000,0.0296230000,714.4395143600,21.4487712200,21.4487712200,1,XCH-BTC
2021-05-19,1621353600000,0.0296440000,0.0320000000,0.0190970000,0.0266190000,2262.7319805800,59.8659613800,59.8659613800,1,XCH-BTC
2021-05-20,1621440000000,0.0264680000,0.0282000000,0.0228570000,0.0254710000,1315.3698748100,33.0967185600,33.0967185600,1,XCH-BTC
2021-05-21,1621526400000,0.0254780000,0.0256760000,0.0206530000,0.0215870000,1258.9869176700,29.7709062500,29.7709062500,1,XCH-BTC
2021-05-22,1621612800000,0.0218180000,0.0237740000,0.0213480000,0.0214520000,605.0514417800,13.6095597500,13.6095597500,1,XCH-BTC
2021-05-23,1621699200000,0.0214550000,0.0227190000,0.0200000000,0.0205350000,992.3247805700,21.1954876900,21.1954876900,1,XCH-BTC
2021-05-24,1621785600000,0.0205900000,0.0213560000,0.0195330000,0.0204040000,795.7092228100,16.2613423400,16.2613423400,1,XCH-BTC
2021-05-25,1621872000000,0.0204090000,0.0245990000,0.0197700000,0.0213240000,664.5440463200,14.5453789100,14.5453789100,1,XCH-BTC
2021-05-26,1621958400000,0.0213200000,0.0226990000,0.0207450000,0.0211720000,1004.3087552700,21.2703042400,21.2703042400,1,XCH-BTC
2021-05-27,1622044800000,0.0211400000,0.0221860000,0.0205760000,0.0207460000,866.2954748900,18.4694101900,18.4694101900,1,XCH-BTC
2021-05-28,1622131200000,0.0207440000,0.0214130000,0.0205740000,0.0212320000,617.8338747000,12.9876077500,12.9876077500,1,XCH-BTC
2021-05-29,1622217600000,0.0212040000,0.0231670000,0.0209180000,0.0226090000,635.7127805400,14.0424931000,14.0424931000,1,XCH-BTC
2021-05-30,1622304000000,0.0224480000,0.0237220000,0.0218050000,0.0221320000,602.6501858800,13.7357751600,13.7357751600,1,XCH-BTC
2021-05-31,1622390400000,0.0221210000,0.0223890000,0.0206830000,0.0209390000,386.7301212900,8.3799569300,8.3799569300,1,XCH-BTC
2021-06-01,1622476800000,0.0209440000,0.0210440000,0.0185980000,0.0195170000,684.1119406500,13.7447524800,13.7447524800,1,XCH-BTC
2021-06-02,1622563200000,0.0195210000,0.0201310000,0.0183020000,0.0189200000,745.5333304300,14.1692874200,14.1692874200,1,XCH-BTC
2021-06-03,1622649600000,0.0189210000,0.0190940000,0.0176510000,0.0183650000,742.2141307200,13.5830728200,13.5830728200,1,XCH-BTC
2021-06-04,1622736000000,0.0183610000,0.0200000000,0.0183580000,0.0188020000,503.4233778000,9.5977784200,9.5977784200,1,XCH-BTC
2021-06-05,1622822400000,0.0188220000,0.0193160000,0.0185560000,0.0190260000,411.1083764700,7.7612982800,7.7612982800,1,XCH-BTC
2021-06-06,1622908800000,0.0190140000,0.0195260000,0.0186230000,0.0187330000,370.2696604600,7.0159545500,7.0159545500,1,XCH-BTC
2021-06-07,1622995200000,0.0187080000,0.0188730000,0.0178830000,0.0180930000,583.0469512800,10.6671923000,10.6671923000,1,XCH-BTC
2021-06-08,1623081600000,0.0180900000,0.0183290000,0.0153680000,0.0170610000,1134.3168670100,19.3548372600,19.3548372600,1,XCH-BTC
2021-06-09,1623168000000,0.0170620000,0.0175020000,0.0150220000,0.0155490000,652.3927289800,10.6586383600,10.6586383600,1,XCH-BTC
2021-06-10,1623254400000,0.0155490000,0.0155520000,0.0139280000,0.0144310000,830.0370659900,12.1661864200,12.1661864200,1,XCH-BTC
2021-06-11,1623340800000,0.0144300000,0.0144660000,0.0123460000,0.0127360000,827.2982485000,11.1872338200,11.1872338200,1,XCH-BTC
2021-06-12,1623427200000,0.0127230000,0.0127370000,0.0110380000,0.0117810000,1207.8574542700,14.2713822400,14.2713822400,1,XCH-BTC
2021-06-13,1623513600000,0.0117880000,0.0119560000,0.0105180000,0.0108670000,1230.4859971300,13.6424023700,13.6424023700,1,XCH-BTC
2021-06-14,1623600000000,0.0108660000,0.0109820000,0.0099910000,0.0107960000,980.2373422200,10.3236417000,10.3236417000,1,XCH-BTC
2021-06-15,1623686400000,0.0108360000,0.0108870000,0.0103860000,0.0105120000,522.8638196200,5.5706403200,5.5706403200,1,XCH-BTC
2021-06-16,1623772800000,0.0105400000,0.0108900000,0.0102850000,0.0105360000,1298.1986463200,13.6117221500,13.6117221500,1,XCH-BTC
2021-06-17,1623859200000,0.0105400000,0.0112320000,0.0104740000,0.0109130000,583.1692310900,6.3619994600,6.3619994600,1,XCH-BTC
2021-06-18,1623945600000,0.0109190000,0.0112840000,0.0108400000,0.0109820000,618.0568973800,6.8005330600,6.8005330600,1,XCH-BTC
2021-06-19,1624032000000,0.0109820000,0.0112840000,0.0108480000,0.0110130000,594.7899663300,6.5926311700,6.5926311700,1,XCH-BTC
2021-06-20,1624118400000,0.0110060000,0.0111010000,0.0093120000,0.0100390000,1539.2053390100,16.0541798600,16.0541798600,1,XCH-BTC
2021-06-21,1624204800000,0.0100460000,0.0106620000,0.0080970000,0.0085410000,2138.8941123800,20.1918498900,20.1918498900,1,XCH-BTC
2021-06-22,1624291200000,0.0085460000,0.0085680000,0.0069210000,0.0077210000,3464.0970041100,26.1792041200,26.1792041200,1,XCH-BTC
2021-06-23,1624377600000,0.0077300000,0.0084530000,0.0068840000,0.0081500000,1612.0055846800,12.1628686100,12.1628686100,1,XCH-BTC
2021-06-24,1624464000000,0.0081300000,0.0100240000,0.0080520000,0.0089850000,2290.3490257800,21.3760308800,21.3760308800,1,XCH-BTC
2021-06-25,1624550400000,0.0090030000,0.0093540000,0.0084870000,0.0087990000,1109.2398405800,9.8709660200,9.8709660200,1,XCH-BTC
2021-06-26,1624636800000,0.0087960000,0.0092810000,0.0082210000,0.0085270000,1003.4967455900,8.8329227400,8.8329227400,1,XCH-BTC
2021-06-27,1624723200000,0.0085090000,0.0088520000,0.0079660000,0.0080410000,559.7877819300,4.6974787900,4.6974787900,1,XCH-BTC
2021-06-28,1624809600000,0.0080420000,0.0083530000,0.0078920000,0.0081510000,710.4180291900,5.7419602000,5.7419602000,1,XCH-BTC
2021-06-29,1624896000000,0.0081450000,0.0089860000,0.0079270000,0.0082640000,793.3202654700,6.5617002500,6.5617002500,1,XCH-BTC
2021-06-30,1624982400000,0.0082690000,0.0090250000,0.0081070000,0.0081540000,533.4231478600,4.5213335700,4.5213335700,1,XCH-BTC
2021-07-01,1625068800000,0.0081580000,0.0086060000,0.0081510000,0.0082810000,454.1351220600,3.8009461900,3.8009461900,1,XCH-BTC
2021-07-02,1625155200000,0.0082820000,0.0084930000,0.0081790000,0.0083020000,368.6709503600,3.0640369000,3.0640369000,1,XCH-BTC
2021-07-03,1625241600000,0.0082950000,0.0084710000,0.0081890000,0.0082120000,362.4113410400,3.0159342400,3.0159342400,1,XCH-BTC
2021-07-04,1625328000000,0.0082170000,0.0090490000,0.0082170000,0.0084410000,460.8718078300,3.9860047900,3.9860047900,1,XCH-BTC
2021-07-05,1625414400000,0.0084410000,0.0086990000,0.0082200000,0.0084640000,395.5858024800,3.3214293300,3.3214293300,1,XCH-BTC
2021-07-06,1625500800000,0.0084690000,0.0086440000,0.0082570000,0.0083790000,382.9949579700,3.2289553100,3.2289553100,1,XCH-BTC
