Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-11,1515600000000,1.3057000000,1.5055000000,1.2580000000,1.4199000000,18094.9426530000,25609.8222400000,25609.8222400000,1,XEM-USDT
2018-01-12,1515686400000,1.4992000000,1.4992000000,1.2500000000,1.3799000000,50721.7946440000,66948.4435300000,66948.4435300000,1,XEM-USDT
2018-01-13,1515772800000,1.3799000000,1.6399000000,1.3302000000,1.4608000000,54916.8825560000,81052.3569310000,81052.3569310000,1,XEM-USDT
2018-01-14,1515859200000,1.4602000000,1.6499000000,1.2900000000,1.2900000000,48225.8656770000,67273.1352170000,67273.1352170000,1,XEM-USDT
2018-01-15,1515945600000,1.2900000000,1.7800000000,1.2756000000,1.4012000000,140715.7044600000,216067.0461510000,216067.0461510000,1,XEM-USDT
2018-01-16,1516032000000,1.4099000000,1.4499000000,0.6999000000,1.0579000000,120998.8716520000,141151.0475760000,141151.0475760000,1,XEM-USDT
2018-01-17,1516118400000,1.0939000000,1.0991000000,0.6999000000,0.7199000000,77843.9310070000,65436.5627820000,65436.5627820000,1,XEM-USDT
2018-01-18,1516204800000,0.7161000000,1.2358000000,0.7157000000,1.0575000000,60437.0279650000,59099.7355520000,59099.7355520000,1,XEM-USDT
2018-01-19,1516291200000,1.0847000000,1.1129000000,0.9499000000,1.0688000000,35044.8434830000,36464.5516310000,36464.5516310000,1,XEM-USDT
2018-01-20,1516377600000,1.0990000000,1.1799000000,1.0124000000,1.1587000000,18202.2850880000,20043.5259120000,20043.5259120000,1,XEM-USDT
2018-01-21,1516464000000,1.1206000000,1.2283000000,1.0140000000,1.0521000000,29200.2689450000,32449.8426670000,32449.8426670000,1,XEM-USDT
2018-01-22,1516550400000,1.0065000000,1.0943000000,0.9005000000,0.9343000000,22552.8230460000,23368.5909590000,23368.5909590000,1,XEM-USDT
2018-01-23,1516636800000,0.9412000000,0.9879000000,0.8535000000,0.9305000000,18991.2161070000,17277.9082820000,17277.9082820000,1,XEM-USDT
2018-01-24,1516723200000,0.9475000000,1.0132000000,0.9118000000,0.9499000000,12609.3918620000,12057.0653180000,12057.0653180000,1,XEM-USDT
2018-01-25,1516809600000,0.9307000000,1.0180000000,0.9185000000,0.9186000000,22405.7110780000,21543.8710060000,21543.8710060000,1,XEM-USDT
2018-01-26,1516896000000,0.9375000000,1.1499000000,0.8147000000,0.8992000000,222252.4973860000,210590.6706860000,210590.6706860000,1,XEM-USDT
2018-01-27,1516982400000,0.8993000000,1.0555000000,0.8499000000,0.9918000000,127170.5671710000,118517.2253530000,118517.2253530000,1,XEM-USDT
2018-01-28,1517068800000,0.9691000000,1.1999000000,0.9671000000,1.0095000000,150649.4551840000,159841.1946060000,159841.1946060000,1,XEM-USDT
2018-01-29,1517155200000,1.0000000000,1.0416000000,0.9002000000,0.9399000000,77030.5329680000,73374.3991910000,73374.3991910000,1,XEM-USDT
2018-01-30,1517241600000,0.9399000000,0.9596000000,0.8101000000,0.8117000000,44736.6345770000,38841.0417740000,38841.0417740000,1,XEM-USDT
2018-01-31,1517328000000,0.8201000000,0.8727000000,0.7399000000,0.7796000000,54595.2915460000,43199.8664450000,43199.8664450000,1,XEM-USDT
2018-02-01,1517414400000,0.7762000000,0.8498000000,0.7049000000,0.7170000000,24112.0762050000,18276.4957430000,18276.4957430000,1,XEM-USDT
2018-02-02,1517500800000,0.7002000000,0.7064000000,0.5000000000,0.6105000000,81973.4043360000,49480.9428150000,49480.9428150000,1,XEM-USDT
2018-02-03,1517587200000,0.6493000000,0.6618000000,0.5288000000,0.6261000000,86260.1949370000,52249.8197650000,52249.8197650000,1,XEM-USDT
2018-02-04,1517673600000,0.6235000000,0.6996000000,0.4799000000,0.5899000000,153202.6484420000,95096.5825370000,95096.5825370000,1,XEM-USDT
2018-02-05,1517760000000,0.5809000000,0.5809000000,0.4349000000,0.4535000000,124278.7809620000,63494.0518800000,63494.0518800000,1,XEM-USDT
2018-02-06,1517846400000,0.4662000000,0.6500000000,0.3438000000,0.4754000000,421912.4076740000,180901.4135400000,180901.4135400000,1,XEM-USDT
2018-02-07,1517932800000,0.4754000000,0.6199000000,0.4541000000,0.5776000000,311646.1498800000,169002.4405660000,169002.4405660000,1,XEM-USDT
2018-02-08,1518019200000,0.5556000000,0.6999000000,0.5063000000,0.5715000000,332440.5214450000,186944.5367170000,186944.5367170000,1,XEM-USDT
2018-02-09,1518105600000,0.5937000000,0.5937000000,0.5027000000,0.5600000000,241352.3736610000,130100.4425730000,130100.4425730000,1,XEM-USDT
2018-02-10,1518192000000,0.5663000000,0.6264000000,0.5302000000,0.5312000000,175559.9276990000,101169.7809650000,101169.7809650000,1,XEM-USDT
2018-02-11,1518278400000,0.5431000000,0.5584000000,0.4667000000,0.5299000000,110012.0214510000,57251.8075260000,57251.8075260000,1,XEM-USDT
