Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-06-21,1655740800000,0.1,0.119,0.1,0.11666,358146.5691,41588.1067,41588.1067,1,XLM-USDC
2022-06-22,1655827200000,0.11667,0.1178,0.10963,0.11221,746369.3972,84591.0617,84591.0617,1,XLM-USDC
2022-06-23,1655913600000,0.11222,0.11885,0.11151,0.11586,652887.5278,75716.9523,75716.9523,1,XLM-USDC
2022-06-24,1656000000000,0.11587,0.12888,0.11424,0.1255,804648.7952,99036.0117,99036.0117,1,XLM-USDC
2022-06-25,1656086400000,0.12543,0.1298,0.12276,0.12276,390558.2001,49717.7504,49717.7504,1,XLM-USDC
2022-06-26,1656172800000,0.12274,0.12771,0.12273,0.12439,387672.8269,48719.0123,48719.0123,1,XLM-USDC
2022-06-27,1656259200000,0.12429,0.12553,0.11816,0.11865,478155.2369,58300.6519,58300.6519,1,XLM-USDC
2022-06-28,1656345600000,0.11863,0.12115,0.11472,0.11634,1627203.9974,193492.2547,193492.2547,1,XLM-USDC
2022-06-29,1656432000000,0.1165,0.11725,0.10845,0.10921,5590219.2552,627248.0901,627248.0901,1,XLM-USDC
2022-06-30,1656518400000,0.10911,0.1125,0.10297,0.10699,9161023.4579,981303.5027,981303.5027,1,XLM-USDC
2022-07-01,1656604800000,0.10691,0.11497,0.10604,0.10968,8630310.938,946541.9449,946541.9449,1,XLM-USDC
2022-07-02,1656691200000,0.1097,0.11199,0.10519,0.10786,5648296.648,611759.4767,611759.4767,1,XLM-USDC
2022-07-03,1656777600000,0.10779,0.10952,0.10573,0.10718,4470913.0417,481022.0144,481022.0144,1,XLM-USDC
2022-07-04,1656864000000,0.10693,0.11095,0.10663,0.10919,5163371.6746,560945.4669,560945.4669,1,XLM-USDC
2022-07-05,1656950400000,0.10894,0.11147,0.10428,0.10678,5713980.4457,620568.6978,620568.6978,1,XLM-USDC
2022-07-06,1657036800000,0.10681,0.10986,0.1058,0.10795,6456615.863,699327.6401,699327.6401,1,XLM-USDC
2022-07-07,1657123200000,0.10807,0.11289,0.10781,0.11175,5762727.4251,633729.1677,633729.1677,1,XLM-USDC
2022-07-08,1657209600000,0.11161,0.11837,0.11138,0.11313,8542481.2808,976016.4612,976016.4612,1,XLM-USDC
2022-07-09,1657296000000,0.11323,0.11552,0.11169,0.11321,9147951.5972,1038250.8396,1038250.8396,1,XLM-USDC
2022-07-10,1657382400000,0.11303,0.11495,0.10637,0.10726,8725234.8827,974383.6129,974383.6129,1,XLM-USDC
2022-07-11,1657468800000,0.10719,0.10868,0.104,0.1053,10478362.5964,1113407.2037,1113407.2037,1,XLM-USDC
2022-07-12,1657555200000,0.10518,0.10635,0.10096,0.10189,11344023.2908,1165504.3133,1165504.3133,1,XLM-USDC
2022-07-13,1657641600000,0.10182,0.10431,0.09897,0.10153,13619550.3991,1386623.1175,1386623.1175,1,XLM-USDC
2022-07-14,1657728000000,0.10156,0.106,0.10084,0.10418,11601199.1186,1202202.9759,1202202.9759,1,XLM-USDC
2022-07-15,1657814400000,0.10412,0.10855,0.10335,0.10599,11124898.3836,1184100.0519,1184100.0519,1,XLM-USDC
2022-07-16,1657900800000,0.10613,0.10859,0.10512,0.1078,9267688.8011,990067.7913,990067.7913,1,XLM-USDC
2022-07-17,1657987200000,0.1077,0.11134,0.10743,0.10774,12952502.4312,1416695.2632,1416695.2632,1,XLM-USDC
2022-07-18,1658073600000,0.10774,0.11626,0.10618,0.11485,13363745.9288,1487683.6345,1487683.6345,1,XLM-USDC
2022-07-19,1658160000000,0.1147,0.11798,0.11031,0.11711,17744896.2076,2020205.6647,2020205.6647,1,XLM-USDC
2022-07-20,1658246400000,0.11702,0.12091,0.11657,0.11955,14657533.6636,1740964.822,1740964.822,1,XLM-USDC
2022-07-21,1658332800000,0.1199,0.11995,0.10929,0.11166,12960362.2087,1461635.8245,1461635.8245,1,XLM-USDC
2022-07-22,1658419200000,0.11153,0.11599,0.11123,0.11249,10214544.1008,1162043.0095,1162043.0095,1,XLM-USDC
2022-07-23,1658505600000,0.11274,0.11377,0.10971,0.11136,9348395.0799,1045921.814,1045921.814,1,XLM-USDC
2022-07-24,1658592000000,0.11131,0.11467,0.10904,0.11424,8992201.8831,1009324.7963,1009324.7963,1,XLM-USDC
2022-07-25,1658678400000,0.11438,0.11563,0.1007,0.10944,10900250.7337,1210096.0768,1210096.0768,1,XLM-USDC
2022-07-26,1658764800000,0.10925,0.1099,0.10125,0.10244,11254397.7241,1186867.5321,1186867.5321,1,XLM-USDC
2022-07-27,1658851200000,0.10235,0.10728,0.1023,0.10696,8380544.3834,880274.2431,880274.2431,1,XLM-USDC
2022-07-28,1658937600000,0.10696,0.11594,0.10545,0.11487,14073495.4091,1563635.3313,1563635.3313,1,XLM-USDC
2022-07-29,1659024000000,0.11474,0.11938,0.11438,0.11719,13608063.8862,1590962.0613,1590962.0613,1,XLM-USDC
2022-07-30,1659110400000,0.11708,0.12426,0.1148,0.12371,13936298.1789,1656169.7341,1656169.7341,1,XLM-USDC
2022-07-31,1659196800000,0.12353,0.12548,0.11774,0.12057,14860857.5189,1797433.7581,1797433.7581,1,XLM-USDC
2022-08-01,1659283200000,0.12055,0.12277,0.11672,0.11929,11795060.8835,1405868.9669,1405868.9669,1,XLM-USDC
