Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-06-14,1655136000000,140.0,140.0,70.04,125.14,949.153474,117035.614027,117035.614027,1,XMR-USDC
2022-06-15,1655222400000,124.6,125.08,104.0,114.07,3158.045591,360398.462456,360398.462456,1,XMR-USDC
2022-06-16,1655308800000,114.05,120.6,104.42,107.34,2056.722377,231253.032794,231253.032794,1,XMR-USDC
2022-06-17,1655395200000,107.33,116.1,104.33,112.31,1622.80336,179966.733284,179966.733284,1,XMR-USDC
2022-06-18,1655481600000,112.31,115.42,100.93,101.18,1325.963196,143780.365485,143780.365485,1,XMR-USDC
2022-06-19,1655568000000,101.18,112.67,96.67,110.37,1427.208098,149142.1449,149142.1449,1,XMR-USDC
2022-06-20,1655654400000,110.41,116.31,107.86,116.31,1387.460181,156403.526266,156403.526266,1,XMR-USDC
2022-06-21,1655740800000,116.31,124.99,113.28,123.59,1572.759357,186082.852879,186082.852879,1,XMR-USDC
2022-06-22,1655827200000,123.57,124.12,112.24,114.55,2016.184855,236919.93508,236919.93508,1,XMR-USDC
2022-06-23,1655913600000,114.52,119.52,110.97,117.97,1036.401433,119488.923911,119488.923911,1,XMR-USDC
2022-06-24,1656000000000,117.98,127.5,116.97,125.07,917.356131,113448.723211,113448.723211,1,XMR-USDC
2022-06-25,1656086400000,125.05,128.59,121.09,121.17,1341.612622,168945.996156,168945.996156,1,XMR-USDC
2022-06-26,1656172800000,121.2,133.97,121.04,130.42,1200.993559,153223.253406,153223.253406,1,XMR-USDC
2022-06-27,1656259200000,130.37,132.64,123.93,124.22,1169.782128,148961.57737,148961.57737,1,XMR-USDC
2022-06-28,1656345600000,124.14,124.14,117.05,118.13,3359.977918,406888.832726,406888.832726,1,XMR-USDC
2022-06-29,1656432000000,117.95,124.81,115.94,121.3,10905.954685,1306517.323228,1306517.323228,1,XMR-USDC
2022-06-30,1656518400000,121.31,121.96,107.9,110.32,13333.037169,1541699.761672,1541699.761672,1,XMR-USDC
2022-07-01,1656604800000,110.46,117.38,108.21,112.04,11128.548051,1247784.357512,1247784.357512,1,XMR-USDC
2022-07-02,1656691200000,112.15,119.1,111.2,114.5,13212.501155,1532151.772143,1532151.772143,1,XMR-USDC
2022-07-03,1656777600000,114.35,117.32,113.71,115.37,9763.398882,1128973.226188,1128973.226188,1,XMR-USDC
2022-07-04,1656864000000,115.41,124.37,114.78,121.21,10019.589145,1183884.546802,1183884.546802,1,XMR-USDC
2022-07-05,1656950400000,121.21,125.19,118.56,120.94,10445.713883,1272526.067771,1272526.067771,1,XMR-USDC
2022-07-06,1657036800000,120.68,126.72,120.32,124.41,12547.248555,1548943.255843,1548943.255843,1,XMR-USDC
2022-07-07,1657123200000,124.38,129.95,124.04,129.09,10175.675211,1290959.57514,1290959.57514,1,XMR-USDC
2022-07-08,1657209600000,129.0,133.33,127.88,129.52,14434.713989,1879627.198539,1879627.198539,1,XMR-USDC
2022-07-09,1657296000000,129.51,130.55,124.99,126.17,12612.345844,1606476.826206,1606476.826206,1,XMR-USDC
2022-07-10,1657382400000,126.15,128.3,121.05,121.39,12574.861663,1570570.620632,1570570.620632,1,XMR-USDC
2022-07-11,1657468800000,121.3,136.55,120.61,130.49,43209.782915,5573127.89182,5573127.89182,1,XMR-USDC
2022-07-12,1657555200000,130.67,133.1,123.11,127.59,23309.059705,2991088.887388,2991088.887388,1,XMR-USDC
2022-07-13,1657641600000,127.69,128.48,117.42,119.46,18892.671884,2336542.778852,2336542.778852,1,XMR-USDC
2022-07-14,1657728000000,119.31,129.96,118.71,129.53,15669.803939,1938612.522726,1938612.522726,1,XMR-USDC
2022-07-15,1657814400000,129.59,136.87,129.41,133.79,19136.491291,2560901.767676,2560901.767676,1,XMR-USDC
2022-07-16,1657900800000,133.65,141.32,132.85,140.57,19564.495933,2699952.925898,2699952.925898,1,XMR-USDC
2022-07-17,1657987200000,140.49,145.33,135.01,136.23,16072.601283,2245716.622647,2245716.622647,1,XMR-USDC
2022-07-18,1658073600000,136.08,149.05,134.61,148.57,19775.622498,2819843.556999,2819843.556999,1,XMR-USDC
2022-07-19,1658160000000,148.3,149.14,139.3,145.72,22521.536347,3238042.165606,3238042.165606,1,XMR-USDC
2022-07-20,1658246400000,145.73,152.93,143.01,150.95,20221.314747,2972060.321441,2972060.321441,1,XMR-USDC
2022-07-21,1658332800000,150.99,153.49,145.35,149.49,24521.984621,3676306.534063,3676306.534063,1,XMR-USDC
2022-07-22,1658419200000,149.19,153.72,147.5,149.25,17662.110263,2669155.731041,2669155.731041,1,XMR-USDC
2022-07-23,1658505600000,148.92,151.76,142.52,145.45,16261.958022,2413576.797745,2413576.797745,1,XMR-USDC
2022-07-24,1658592000000,145.63,152.97,143.33,151.79,13323.685015,1978458.554915,1978458.554915,1,XMR-USDC
2022-07-25,1658678400000,151.72,153.95,82.77,146.9,15689.440892,2327376.235966,2327376.235966,1,XMR-USDC
2022-07-26,1658764800000,146.97,149.68,137.96,145.63,20394.331397,2936939.550745,2936939.550745,1,XMR-USDC
2022-07-27,1658851200000,145.38,155.2,144.17,152.16,21428.58834,3226198.299912,3226198.299912,1,XMR-USDC
2022-07-28,1658937600000,152.31,163.74,152.11,161.96,21066.428964,3351263.948166,3351263.948166,1,XMR-USDC
