Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-06-09,1654704000000,1.0,1.296,1.0,1.113,28512.6708,34209.0242,34209.0242,1,XNO-USDC
2022-06-10,1654790400000,1.112,1.165,1.051,1.072,29307.5109,31722.0609,31722.0609,1,XNO-USDC
2022-06-11,1654876800000,1.07,1.072,0.942,0.965,27234.1813,27640.0235,27640.0235,1,XNO-USDC
2022-06-12,1654963200000,0.966,1.082,0.861,0.936,16466.5177,15287.0279,15287.0279,1,XNO-USDC
2022-06-13,1655049600000,0.934,0.943,0.755,0.825,14779.9168,12494.6283,12494.6283,1,XNO-USDC
2022-06-14,1655136000000,0.824,0.933,0.807,0.868,15111.3091,13040.2209,13040.2209,1,XNO-USDC
2022-06-15,1655222400000,0.877,0.915,0.762,0.808,20711.6973,17044.2419,17044.2419,1,XNO-USDC
2022-06-16,1655308800000,0.808,6.205,0.766,0.821,16741.6564,14388.4501,14388.4501,1,XNO-USDC
2022-06-17,1655395200000,0.814,0.83,0.771,0.785,18139.7649,14591.0142,14591.0142,1,XNO-USDC
2022-06-18,1655481600000,0.793,0.809,0.743,0.752,10702.6843,8302.7434,8302.7434,1,XNO-USDC
2022-06-19,1655568000000,0.752,0.789,0.702,0.777,12266.7914,9131.4782,9131.4782,1,XNO-USDC
2022-06-20,1655654400000,0.777,0.799,0.75,0.795,14120.7225,10982.9394,10982.9394,1,XNO-USDC
2022-06-21,1655740800000,0.796,0.842,0.765,0.829,15003.3538,12043.6822,12043.6822,1,XNO-USDC
2022-06-22,1655827200000,0.829,0.835,0.756,0.806,16114.9742,12957.3108,12957.3108,1,XNO-USDC
2022-06-23,1655913600000,0.804,0.82,0.785,0.801,9688.0922,7770.4773,7770.4773,1,XNO-USDC
2022-06-24,1656000000000,0.809,0.872,0.792,0.851,13083.1904,11015.4861,11015.4861,1,XNO-USDC
2022-06-25,1656086400000,0.85,0.885,0.831,0.843,11861.4254,10196.8224,10196.8224,1,XNO-USDC
2022-06-26,1656172800000,0.844,0.896,0.827,0.87,14018.8316,12148.0628,12148.0628,1,XNO-USDC
2022-06-27,1656259200000,0.873,0.89,0.812,0.826,9021.9634,7674.2243,7674.2243,1,XNO-USDC
2022-06-28,1656345600000,0.826,0.857,0.799,0.829,11178.6807,9312.4505,9312.4505,1,XNO-USDC
2022-06-29,1656432000000,0.831,0.837,0.765,0.782,29358.3583,23278.1916,23278.1916,1,XNO-USDC
2022-06-30,1656518400000,0.782,0.848,0.747,0.767,50170.9639,39470.2595,39470.2595,1,XNO-USDC
2022-07-01,1656604800000,0.764,1.189,0.753,0.807,196699.0,165236.4274,165236.4274,1,XNO-USDC
2022-07-02,1656691200000,0.811,0.834,0.78,0.803,276491.8841,221256.4708,221256.4708,1,XNO-USDC
2022-07-03,1656777600000,0.801,0.814,0.775,0.792,150076.2864,119712.2401,119712.2401,1,XNO-USDC
2022-07-04,1656864000000,0.787,0.84,0.777,0.831,295159.6943,238308.0121,238308.0121,1,XNO-USDC
2022-07-05,1656950400000,0.83,0.848,0.805,0.815,403973.1008,333648.0123,333648.0123,1,XNO-USDC
2022-07-06,1657036800000,0.816,0.985,0.81,0.916,509044.6206,437050.5914,437050.5914,1,XNO-USDC
2022-07-07,1657123200000,0.918,0.961,0.864,0.91,530333.3316,481236.245,481236.245,1,XNO-USDC
2022-07-08,1657209600000,0.911,0.937,0.879,0.911,438177.2005,397775.2408,397775.2408,1,XNO-USDC
2022-07-09,1657296000000,0.909,0.913,0.876,0.901,371581.9796,333132.9546,333132.9546,1,XNO-USDC
2022-07-10,1657382400000,0.899,0.946,0.873,0.883,516547.8638,462067.9884,462067.9884,1,XNO-USDC
2022-07-11,1657468800000,0.881,0.906,0.859,0.866,388973.8091,343148.3253,343148.3253,1,XNO-USDC
2022-07-12,1657555200000,0.866,0.919,0.816,0.833,601357.3843,510545.0704,510545.0704,1,XNO-USDC
2022-07-13,1657641600000,0.835,0.861,0.804,0.846,514308.3644,430437.6409,430437.6409,1,XNO-USDC
2022-07-14,1657728000000,0.842,0.875,0.826,0.873,460765.4935,391090.1589,391090.1589,1,XNO-USDC
2022-07-15,1657814400000,0.872,0.904,0.857,0.896,367815.8855,324106.546,324106.546,1,XNO-USDC
2022-07-16,1657900800000,0.898,0.901,0.859,0.879,295061.4816,260439.8016,260439.8016,1,XNO-USDC
2022-07-17,1657987200000,0.882,0.943,0.879,0.915,382674.525,349194.1906,349194.1906,1,XNO-USDC
2022-07-18,1658073600000,0.915,0.979,0.894,0.969,417534.2122,390547.5591,390547.5591,1,XNO-USDC
2022-07-19,1658160000000,0.968,0.989,0.94,0.965,504868.8922,487384.5795,487384.5795,1,XNO-USDC
2022-07-20,1658246400000,0.963,1.026,0.946,0.979,401409.16,391963.9195,391963.9195,1,XNO-USDC
2022-07-21,1658332800000,0.978,0.99,0.901,0.929,497592.1069,465128.0125,465128.0125,1,XNO-USDC
2022-07-22,1658419200000,0.931,0.978,0.925,0.963,389556.0644,371035.3311,371035.3311,1,XNO-USDC
