Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-07-28,1627401600000,0.5,2.6,0.5,1.7333,786247.25169,1411614.713295,1411614.713295,1,YGG-USDT
2021-07-29,1627488000000,1.7362,1.808,0.895,1.518,6565333.949685,8412663.195974,8412663.195974,1,YGG-USDT
2021-07-30,1627574400000,1.5183,2.5199,1.49,2.2744,5618595.064058,11432234.526825,11432234.526825,1,YGG-USDT
2021-07-31,1627660800000,2.2745,3.1901,2.2745,2.8327,5485136.516592,14881847.576318,14881847.576318,1,YGG-USDT
2021-08-01,1627747200000,2.833,2.85,2.21,2.5093,3474076.769074,8791113.180795,8791113.180795,1,YGG-USDT
2021-08-02,1627833600000,2.5093,2.6879,2.25,2.4469,2028565.599962,4961555.949194,4961555.949194,1,YGG-USDT
2021-08-03,1627920000000,2.4471,2.4993,2.05,2.1032,1661286.960028,3736681.440524,3736681.440524,1,YGG-USDT
2021-08-04,1628006400000,2.1094,2.389,1.73,2.2916,2711622.209924,5260360.57758,5260360.57758,1,YGG-USDT
2021-08-05,1628092800000,2.2708,2.4112,1.955,2.2742,1725048.396452,3801856.82922,3801856.82922,1,YGG-USDT
2021-08-06,1628179200000,2.2736,2.6,2.1011,2.402,1816416.045827,4245807.132914,4245807.132914,1,YGG-USDT
2021-08-07,1628265600000,2.4071,2.5377,2.188,2.2553,1673782.986384,3891551.768494,3891551.768494,1,YGG-USDT
2021-08-08,1628352000000,2.2559,2.4613,2.1914,2.2207,1454941.287918,3351379.614999,3351379.614999,1,YGG-USDT
2021-08-09,1628438400000,2.2204,2.2267,1.9656,2.1767,1381797.560107,2906413.643573,2906413.643573,1,YGG-USDT
2021-08-10,1628524800000,2.1764,2.3497,1.9659,2.2098,1929686.756449,4069924.443504,4069924.443504,1,YGG-USDT
2021-08-11,1628611200000,2.21,3.52,2.1388,3.1793,5119550.655616,15042812.974025,15042812.974025,1,YGG-USDT
2021-08-12,1628697600000,3.1799,3.96,2.9759,3.245,3762704.719676,12946587.558565,12946587.558565,1,YGG-USDT
2021-08-13,1628784000000,3.2452,4.0999,3.1255,3.9677,2674963.356022,9946905.638221,9946905.638221,1,YGG-USDT
2021-08-14,1628870400000,3.9718,9.0,3.9642,6.4784,9227030.387736,54517882.811103,54517882.811103,1,YGG-USDT
2021-08-15,1628956800000,6.4973,7.0,5.3,6.2348,5409434.850137,33591099.560511,33591099.560511,1,YGG-USDT
2021-08-16,1629043200000,6.2438,7.987,5.81,7.1506,4486739.288506,30729515.266321,30729515.266321,1,YGG-USDT
2021-08-17,1629129600000,7.1494,7.6999,6.8,7.139,3274887.322682,23803363.677989,23803363.677989,1,YGG-USDT
2021-08-18,1629216000000,7.1297,7.3516,5.95,6.4619,3527782.838223,23033334.878655,23033334.878655,1,YGG-USDT
2021-08-19,1629302400000,6.4617,7.6,5.3012,7.0128,4812112.977037,30493053.578963,30493053.578963,1,YGG-USDT
2021-08-20,1629388800000,7.0191,8.7398,6.9,8.2855,2713595.852468,21287434.690318,21287434.690318,1,YGG-USDT
2021-08-21,1629475200000,8.2841,8.6109,7.66,8.1508,2548263.810442,20708981.479201,20708981.479201,1,YGG-USDT
2021-08-22,1629561600000,8.1551,8.35,7.41,7.526,1401607.387026,11008227.233456,11008227.233456,1,YGG-USDT
2021-08-23,1629648000000,7.5315,7.9115,6.51,7.0894,2195074.706543,16213154.597942,16213154.597942,1,YGG-USDT
2021-08-24,1629734400000,7.0894,8.6,6.5816,7.4,4052702.801113,31438151.309216,31438151.309216,1,YGG-USDT
