Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-31,1517328000000,80.0,80.0,45.0,49.32,499.943047,24877.002446,24877.002446,1,ZEN-USDT
2018-02-01,1517414400000,48.6,52.79,39.0,48.89,479.570991,22754.536688,22754.536688,1,ZEN-USDT
2018-02-02,1517500800000,40.0,48.19,31.0,39.09,218.058502,8073.126492,8073.126492,1,ZEN-USDT
2018-02-03,1517587200000,34.0,45.99,34.0,43.0,37.807501,1399.996599,1399.996599,1,ZEN-USDT
2018-02-04,1517673600000,37.01,43.0,35.17,35.19,23.873827,907.4052,907.4052,1,ZEN-USDT
2018-02-05,1517760000000,35.3,39.99,32.75,34.0,56.768542,1993.942866,1993.942866,1,ZEN-USDT
2018-02-06,1517846400000,32.0,36.67,21.06,23.36,28.248086,746.133848,746.133848,1,ZEN-USDT
2018-02-07,1517932800000,35.98,39.29,30.0,30.44,72.553989,2599.315074,2599.315074,1,ZEN-USDT
2018-02-08,1518019200000,39.29,44.79,32.0,41.26,71.466964,2771.889624,2771.889624,1,ZEN-USDT
2018-02-09,1518105600000,42.98,43.0,37.0,37.0,2.627488,111.918225,111.918225,1,ZEN-USDT
2018-02-10,1518192000000,39.2,47.94,32.0,43.21,87.884008,3432.888834,3432.888834,1,ZEN-USDT
2018-02-11,1518278400000,44.99,44.99,33.6,41.56,33.164124,1306.489833,1306.489833,1,ZEN-USDT
2018-02-12,1518364800000,41.56,41.56,33.18,33.7,73.620143,2632.340168,2632.340168,1,ZEN-USDT
2018-02-13,1518451200000,38.46,55.55,33.7,36.6,385.132342,15775.048441,15775.048441,1,ZEN-USDT
2018-02-14,1518537600000,36.66,45.0,36.66,38.7,144.598911,5461.190474,5461.190474,1,ZEN-USDT
2018-02-15,1518624000000,42.49,44.7,37.1,37.1,39.947401,1719.621794,1719.621794,1,ZEN-USDT
2018-02-16,1518710400000,39.5,49.78,39.5,49.78,103.972672,4504.843856,4504.843856,1,ZEN-USDT
2018-02-17,1518796800000,43.08,49.79,43.08,49.75,32.847731,1574.201333,1574.201333,1,ZEN-USDT
2018-02-18,1518883200000,46.99,49.74,40.52,40.52,79.458811,3611.369333,3611.369333,1,ZEN-USDT
2018-02-19,1518969600000,41.93,49.71,41.93,49.71,11.216335,495.504356,495.504356,1,ZEN-USDT
2018-02-20,1519056000000,45.0,48.99,41.94,42.29,37.430084,1622.002656,1622.002656,1,ZEN-USDT
2018-02-21,1519142400000,41.96,41.98,35.72,37.0,343.620935,13381.343279,13381.343279,1,ZEN-USDT
2018-02-22,1519228800000,36.04,41.36,34.78,34.78,221.984593,7979.090015,7979.090015,1,ZEN-USDT
2018-02-23,1519315200000,33.0,36.93,30.0,33.0,64.768439,2224.674597,2224.674597,1,ZEN-USDT
2018-02-24,1519401600000,33.0,49.7,32.99,39.98,188.264846,6873.243981,6873.243981,1,ZEN-USDT
2018-02-25,1519488000000,34.7,40.0,33.49,35.0,190.819009,6948.873734,6948.873734,1,ZEN-USDT
2018-02-26,1519574400000,35.0,36.99,33.1,36.5,162.64156,5686.938241,5686.938241,1,ZEN-USDT
2018-02-27,1519660800000,37.04,43.68,36.04,40.79,1667.262223,66179.29867,66179.29867,1,ZEN-USDT
2018-02-28,1519747200000,40.79,42.63,37.24,37.24,5937.437577,237967.73068,237967.73068,1,ZEN-USDT
2018-03-01,1519833600000,37.1,41.89,35.36,39.9,1008.828461,39477.105837,39477.105837,1,ZEN-USDT
2018-03-02,1519920000000,41.79,41.79,35.5,35.79,938.692282,35139.787729,35139.787729,1,ZEN-USDT
2018-03-03,1520006400000,36.13,41.73,36.01,38.79,858.168289,34012.217573,34012.217573,1,ZEN-USDT
2018-03-04,1520092800000,38.79,40.99,37.0,38.6,1355.256436,53755.498785,53755.498785,1,ZEN-USDT
2018-03-05,1520179200000,38.49,41.47,35.1,37.8,12009.915937,459755.454394,459755.454394,1,ZEN-USDT
2018-03-06,1520265600000,37.3,38.79,33.0,35.0,1326.011602,47428.473533,47428.473533,1,ZEN-USDT
2018-03-07,1520352000000,33.75,35.56,30.24,31.81,159.979692,5233.205742,5233.205742,1,ZEN-USDT
2018-03-08,1520438400000,31.71,34.63,26.36,26.8,1080.642789,30943.44941,30943.44941,1,ZEN-USDT
2018-03-09,1520524800000,26.86,28.99,22.0,25.1,1185.139913,29476.580971,29476.580971,1,ZEN-USDT
2018-03-10,1520611200000,25.04,29.68,25.0,26.5,272.76074,7160.925917,7160.925917,1,ZEN-USDT
2018-03-11,1520697600000,26.5,29.49,22.5,23.98,721.876246,17133.420512,17133.420512,1,ZEN-USDT
2018-03-12,1520784000000,23.96,27.33,23.07,23.07,581.186684,14254.065422,14254.065422,1,ZEN-USDT
2018-03-13,1520870400000,23.0,25.61,20.0,21.2,308.778986,6845.01472,6845.01472,1,ZEN-USDT
2018-03-14,1520956800000,21.17,23.29,19.93,20.13,771.108464,16815.354505,16815.354505,1,ZEN-USDT
2018-03-15,1521043200000,20.13,21.92,17.0,17.95,828.888677,15243.171955,15243.171955,1,ZEN-USDT
2018-03-16,1521129600000,18.3,21.98,17.89,21.89,356.381071,6946.116608,6946.116608,1,ZEN-USDT
2018-03-17,1521216000000,20.24,20.89,19.0,19.0,680.518332,13815.048667,13815.048667,1,ZEN-USDT
2018-03-18,1521302400000,19.0,19.16,16.5,16.5,1713.585546,30589.137934,30589.137934,1,ZEN-USDT
2018-03-19,1521388800000,16.5,19.92,16.0,18.9,259.785982,4778.05895,4778.05895,1,ZEN-USDT
2018-03-20,1521475200000,19.99,20.79,18.21,18.21,117.813242,2173.926971,2173.926971,1,ZEN-USDT
2018-03-21,1521561600000,19.99,22.99,19.3,20.15,156.820013,3204.51431,3204.51431,1,ZEN-USDT
2018-03-22,1521648000000,20.15,22.75,18.83,19.19,871.386717,17784.236177,17784.236177,1,ZEN-USDT
2018-03-23,1521734400000,19.03,21.62,17.2,19.99,367.415896,6976.622675,6976.622675,1,ZEN-USDT
2018-03-24,1521820800000,18.82,19.92,18.82,18.82,350.122239,6785.024408,6785.024408,1,ZEN-USDT
2018-03-25,1521907200000,19.91,22.0,18.4,18.4,82.838534,1608.720824,1608.720824,1,ZEN-USDT
2018-03-26,1521993600000,19.98,19.98,16.3,18.41,423.820023,7426.929027,7426.929027,1,ZEN-USDT
2018-03-27,1522080000000,18.55,19.96,15.37,15.94,647.015269,10499.488483,10499.488483,1,ZEN-USDT
2018-03-28,1522166400000,18.99,19.0,16.26,17.27,212.393672,3760.613286,3760.613286,1,ZEN-USDT
2018-03-29,1522252800000,17.29,19.96,17.05,17.52,224.438137,4183.503615,4183.503615,1,ZEN-USDT
2018-03-30,1522339200000,17.13,18.8,15.4,15.4,218.58159,3608.196497,3608.196497,1,ZEN-USDT
2018-03-31,1522425600000,15.35,17.98,14.04,17.23,147.09712,2340.259255,2340.259255,1,ZEN-USDT
2018-04-01,1522512000000,15.39,17.23,12.59,14.99,174.610696,2543.217406,2543.217406,1,ZEN-USDT
2018-04-02,1522598400000,14.99,18.37,14.39,16.95,159.928401,2809.49755,2809.49755,1,ZEN-USDT
2018-04-03,1522684800000,18.11,21.99,18.11,20.5,887.929129,17980.587855,17980.587855,1,ZEN-USDT
2018-04-04,1522771200000,21.68,22.22,19.0,19.0,493.18257,10468.409735,10468.409735,1,ZEN-USDT
2018-04-05,1522857600000,19.99,21.31,19.14,20.0,123.331922,2422.957983,2422.957983,1,ZEN-USDT
2018-04-06,1522944000000,19.74,23.5,19.74,23.49,301.966665,6541.765367,6541.765367,1,ZEN-USDT
2018-04-07,1523030400000,22.19,24.42,22.19,24.39,144.329693,3387.31293,3387.31293,1,ZEN-USDT
2018-04-08,1523116800000,24.5,25.39,20.96,25.0,245.160217,6050.616277,6050.616277,1,ZEN-USDT
2018-04-09,1523203200000,23.75,27.5,23.75,25.47,534.046029,13429.810111,13429.810111,1,ZEN-USDT
2018-04-10,1523289600000,24.6,24.89,22.5,24.89,56.013707,1335.658181,1335.658181,1,ZEN-USDT
2018-04-11,1523376000000,24.89,25.79,24.47,25.79,35.679715,890.60133,890.60133,1,ZEN-USDT
2018-04-12,1523462400000,25.5,29.69,24.0,28.69,685.33277,18273.250482,18273.250482,1,ZEN-USDT
2018-04-13,1523548800000,27.21,31.27,27.21,30.51,665.991868,19738.048433,19738.048433,1,ZEN-USDT
2018-04-14,1523635200000,31.13,33.74,30.23,31.5,136.878257,4378.893931,4378.893931,1,ZEN-USDT
2018-04-15,1523721600000,32.97,38.75,32.71,34.0,95.903233,3280.742462,3280.742462,1,ZEN-USDT
2018-04-16,1523808000000,34.81,35.69,31.43,31.5,337.265609,11245.364884,11245.364884,1,ZEN-USDT
2018-04-17,1523894400000,32.5,38.0,31.86,33.5,153.819941,5156.523258,5156.523258,1,ZEN-USDT
2018-04-18,1523980800000,33.5,34.45,31.54,34.39,81.342467,2716.037251,2716.037251,1,ZEN-USDT
2018-04-19,1524067200000,33.79,36.0,33.0,34.13,169.606592,5920.913873,5920.913873,1,ZEN-USDT
2018-04-20,1524153600000,34.29,40.0,34.29,40.0,226.971479,8585.438777,8585.438777,1,ZEN-USDT
2018-04-21,1524240000000,39.99,40.0,33.37,34.01,582.344828,21962.457982,21962.457982,1,ZEN-USDT
2018-04-22,1524326400000,38.99,39.0,34.02,35.0,87.614116,3103.73297,3103.73297,1,ZEN-USDT
2018-04-23,1524412800000,36.99,36.99,33.06,34.0,770.557536,26187.645963,26187.645963,1,ZEN-USDT
2018-04-24,1524499200000,34.0,36.5,33.53,34.6,129.467596,4508.501447,4508.501447,1,ZEN-USDT
2018-04-25,1524585600000,34.62,38.66,31.33,32.02,684.932681,23533.818881,23533.818881,1,ZEN-USDT
2018-04-26,1524672000000,32.05,37.75,32.05,34.58,352.976107,12625.311283,12625.311283,1,ZEN-USDT
2018-04-27,1524758400000,34.65,41.0,34.65,38.9,264.089743,10087.721432,10087.721432,1,ZEN-USDT
2018-04-28,1524844800000,40.94,43.0,39.03,40.71,124.579947,5224.203507,5224.203507,1,ZEN-USDT
2018-04-29,1524931200000,44.0,44.0,40.5,40.5,197.367911,8218.159082,8218.159082,1,ZEN-USDT
2018-04-30,1525017600000,40.5,42.48,39.26,41.0,106.542535,4368.954588,4368.954588,1,ZEN-USDT
2018-05-01,1525104000000,41.05,42.99,35.0,35.2,3085.564165,120996.563456,120996.563456,1,ZEN-USDT
2018-05-02,1525190400000,35.23,39.0,35.23,38.58,36.506844,1375.981271,1375.981271,1,ZEN-USDT
2018-05-03,1525276800000,39.01,44.64,37.0,39.51,3261.767843,135088.224015,135088.224015,1,ZEN-USDT
2018-05-04,1525363200000,39.6,42.19,38.52,40.23,219.111788,8920.63588,8920.63588,1,ZEN-USDT
2018-05-05,1525449600000,40.24,42.0,39.93,42.0,172.630253,7012.253047,7012.253047,1,ZEN-USDT
2018-05-06,1525536000000,40.39,43.78,39.32,40.15,143.08662,5825.065909,5825.065909,1,ZEN-USDT
2018-05-07,1525622400000,39.67,39.67,37.5,37.5,251.726617,9716.217637,9716.217637,1,ZEN-USDT
2018-05-08,1525708800000,37.54,41.0,35.18,36.34,160.973639,6141.520918,6141.520918,1,ZEN-USDT
2018-05-09,1525795200000,37.0,37.45,35.0,35.21,160.465317,5804.920101,5804.920101,1,ZEN-USDT
2018-05-10,1525881600000,35.22,39.0,34.99,39.0,99.393264,3540.077392,3540.077392,1,ZEN-USDT
2018-05-11,1525968000000,39.0,39.21,31.17,31.99,248.669226,8490.01227,8490.01227,1,ZEN-USDT
2018-05-12,1526054400000,31.15,32.49,30.0,32.49,265.680873,8075.789278,8075.789278,1,ZEN-USDT
2018-05-13,1526140800000,31.27,31.99,29.66,30.61,143.716463,4340.661889,4340.661889,1,ZEN-USDT
2018-05-14,1526227200000,32.95,33.0,29.5,33.0,51.704616,1648.180302,1648.180302,1,ZEN-USDT
2018-05-15,1526313600000,33.0,34.89,30.02,30.1,141.513961,4463.911049,4463.911049,1,ZEN-USDT
2018-05-16,1526400000000,30.35,30.35,27.57,27.71,238.313383,6848.426976,6848.426976,1,ZEN-USDT
2018-05-17,1526486400000,26.62,29.98,26.62,28.19,86.113903,2460.61903,2460.61903,1,ZEN-USDT
2018-05-18,1526572800000,28.19,29.0,26.0,29.0,110.535734,3075.589036,3075.589036,1,ZEN-USDT
2018-05-19,1526659200000,28.57,32.19,27.55,28.5,47.199765,1413.123441,1413.123441,1,ZEN-USDT
2018-05-20,1526745600000,28.0,29.02,28.0,29.02,2.217587,63.184924,63.184924,1,ZEN-USDT
2018-05-21,1526832000000,29.6,35.0,29.6,31.39,85.742812,2826.291999,2826.291999,1,ZEN-USDT
2018-05-22,1526918400000,32.59,34.82,31.15,34.79,387.364069,13075.195339,13075.195339,1,ZEN-USDT
2018-05-23,1527004800000,34.29,67.0,31.36,33.3,9780.859089,432308.329423,432308.329423,1,ZEN-USDT
2018-05-24,1527091200000,32.34,36.0,29.72,32.49,4147.51809,133163.348951,133163.348951,1,ZEN-USDT
2018-05-25,1527177600000,32.55,38.08,31.0,35.57,1073.41777,36145.049999,36145.049999,1,ZEN-USDT
2018-05-26,1527264000000,35.52,42.0,35.32,39.99,3729.225699,144264.908664,144264.908664,1,ZEN-USDT
2018-05-27,1527350400000,38.0,39.99,32.77,33.5,2449.500201,86617.771804,86617.771804,1,ZEN-USDT
2018-05-28,1527436800000,33.01,34.99,30.75,31.29,1202.287321,38755.294151,38755.294151,1,ZEN-USDT
2018-05-29,1527523200000,30.85,32.99,27.77,30.78,1391.427566,41069.684192,41069.684192,1,ZEN-USDT
2018-05-30,1527609600000,30.8,32.92,29.57,30.0,1068.37663,33719.759197,33719.759197,1,ZEN-USDT
2018-05-31,1527696000000,30.0,31.8,29.22,29.5,665.000822,19684.078579,19684.078579,1,ZEN-USDT
2018-06-01,1527782400000,31.0,31.99,29.5,31.99,1065.255554,33019.309952,33019.309952,1,ZEN-USDT
2018-06-02,1527868800000,31.68,32.0,29.8,30.27,465.251089,14520.579735,14520.579735,1,ZEN-USDT
2018-06-03,1527955200000,30.5,31.19,27.82,28.5,863.32699,25517.844774,25517.844774,1,ZEN-USDT
2018-06-04,1528041600000,28.85,29.0,26.12,26.3,206.237339,5640.504156,5640.504156,1,ZEN-USDT
2018-06-05,1528128000000,26.3,27.53,24.5,25.62,286.302063,7334.279845,7334.279845,1,ZEN-USDT
2018-06-06,1528214400000,27.33,27.33,21.0,22.76,2140.555368,48715.418529,48715.418529,1,ZEN-USDT
2018-06-07,1528300800000,22.76,23.0,21.5,22.37,1680.170653,37362.143414,37362.143414,1,ZEN-USDT
2018-06-08,1528387200000,22.79,30.3,22.01,22.99,3835.557285,95888.836387,95888.836387,1,ZEN-USDT
2018-06-09,1528473600000,23.49,29.8,21.89,21.93,10425.26919,257613.975262,257613.975262,1,ZEN-USDT
2018-06-10,1528560000000,22.03,22.05,19.31,19.79,617.107419,12603.114411,12603.114411,1,ZEN-USDT
2018-06-11,1528646400000,19.66,27.0,13.0,16.96,11560.871415,234864.255531,234864.255531,1,ZEN-USDT
2018-06-12,1528732800000,17.77,19.49,17.77,19.0,529.879697,9827.358725,9827.358725,1,ZEN-USDT
2018-06-13,1528819200000,18.78,18.78,16.56,16.76,218.726448,3800.706685,3800.706685,1,ZEN-USDT
2018-06-14,1528905600000,16.68,18.0,16.41,17.1,326.130179,5663.525434,5663.525434,1,ZEN-USDT
2018-06-15,1528992000000,18.98,22.86,18.98,20.48,692.501199,14208.240526,14208.240526,1,ZEN-USDT
2018-06-16,1529078400000,20.47,21.75,18.52,18.67,372.83346,7064.627659,7064.627659,1,ZEN-USDT
2018-06-17,1529164800000,18.98,20.0,18.72,19.55,1514.940566,29057.374921,29057.374921,1,ZEN-USDT
2018-06-18,1529251200000,19.2,19.52,18.26,18.26,62.357255,1185.699176,1185.699176,1,ZEN-USDT
2018-06-19,1529337600000,19.49,30.87,19.29,19.8,10714.30131,254280.731366,254280.731366,1,ZEN-USDT
2018-06-20,1529424000000,19.7,20.0,18.93,20.0,444.069511,8656.919704,8656.919704,1,ZEN-USDT
2018-06-21,1529510400000,20.0,20.0,19.21,19.3,61.731706,1210.708999,1210.708999,1,ZEN-USDT
2018-06-22,1529596800000,19.19,19.19,16.43,16.77,87.708707,1583.767248,1583.767248,1,ZEN-USDT
2018-06-23,1529683200000,16.5,19.43,16.43,17.24,439.538473,7551.32863,7551.32863,1,ZEN-USDT
2018-06-24,1529769600000,17.24,17.65,15.0,15.0,278.048087,4427.185571,4427.185571,1,ZEN-USDT
2018-06-25,1529856000000,15.0,17.4,15.0,16.87,282.238184,4700.124601,4700.124601,1,ZEN-USDT
2018-06-26,1529942400000,16.63,16.76,16.51,16.76,27.787109,462.186399,462.186399,1,ZEN-USDT
2018-06-27,1530028800000,16.1,16.39,16.06,16.08,176.946857,2854.412677,2854.412677,1,ZEN-USDT
2018-06-28,1530115200000,16.5,25.5,16.49,16.86,19492.475311,366687.034303,366687.034303,1,ZEN-USDT
2018-06-29,1530201600000,16.65,16.65,15.56,15.89,1172.631748,18749.172547,18749.172547,1,ZEN-USDT
2018-06-30,1530288000000,16.0,18.13,16.0,17.3,1046.439972,18345.488919,18345.488919,1,ZEN-USDT
2018-07-01,1530374400000,17.55,18.11,17.52,17.52,127.218398,2242.59423,2242.59423,1,ZEN-USDT
2018-07-02,1530460800000,17.5,18.3,16.0,18.15,1134.341546,19843.440375,19843.440375,1,ZEN-USDT
2018-07-03,1530547200000,18.15,18.69,17.59,17.99,94.233646,1675.514686,1675.514686,1,ZEN-USDT
2018-07-04,1530633600000,18.21,18.69,17.5,18.69,569.173249,10201.496569,10201.496569,1,ZEN-USDT
2018-07-05,1530720000000,18.3,19.5,18.13,19.13,494.13756,9428.495086,9428.495086,1,ZEN-USDT
2018-07-06,1530806400000,18.29,18.99,17.68,18.99,253.46702,4685.312695,4685.312695,1,ZEN-USDT
2018-07-07,1530892800000,18.83,21.0,18.83,20.69,1312.145631,26466.412012,26466.412012,1,ZEN-USDT
2018-07-08,1530979200000,20.74,22.84,20.09,22.01,1009.886414,22266.403918,22266.403918,1,ZEN-USDT
2018-07-09,1531065600000,21.87,23.96,20.1,23.95,499.124752,10954.927713,10954.927713,1,ZEN-USDT
2018-07-10,1531152000000,23.76,25.0,20.58,21.17,1477.945573,32274.058272,32274.058272,1,ZEN-USDT
2018-07-11,1531238400000,21.23,22.1,20.51,21.83,385.082449,8067.163944,8067.163944,1,ZEN-USDT
2018-07-12,1531324800000,21.39,23.78,20.28,20.76,471.050952,10002.279183,10002.279183,1,ZEN-USDT
2018-07-13,1531411200000,20.46,22.99,20.01,20.37,131.890918,2705.516154,2705.516154,1,ZEN-USDT
2018-07-14,1531497600000,20.69,20.83,19.91,20.08,356.93965,7325.077834,7325.077834,1,ZEN-USDT
2018-07-15,1531584000000,19.94,20.69,19.1,20.64,538.982083,10445.110676,10445.110676,1,ZEN-USDT
2018-07-16,1531670400000,20.64,21.3,19.4,21.3,438.870945,9221.381245,9221.381245,1,ZEN-USDT
2018-07-17,1531756800000,21.49,22.3,21.35,22.3,167.87176,3643.741194,3643.741194,1,ZEN-USDT
2018-07-18,1531843200000,22.0,27.5,22.0,27.5,3549.808482,92621.040132,92621.040132,1,ZEN-USDT
2018-07-19,1531929600000,27.99,29.99,24.8,28.02,1323.522515,36524.84791,36524.84791,1,ZEN-USDT
2018-07-20,1532016000000,28.0,30.59,27.4,28.88,1623.087602,47995.462369,47995.462369,1,ZEN-USDT
2018-07-21,1532102400000,29.8,30.6,26.02,27.77,833.854165,24187.343347,24187.343347,1,ZEN-USDT
2018-07-22,1532188800000,28.43,28.43,26.2,27.0,232.673108,6243.735877,6243.735877,1,ZEN-USDT
2018-07-23,1532275200000,27.07,27.07,24.5,25.14,1159.141531,29580.74578,29580.74578,1,ZEN-USDT
2018-07-24,1532361600000,25.06,28.96,23.88,25.2,11579.457449,304326.164271,304326.164271,1,ZEN-USDT
2018-07-25,1532448000000,27.27,32.99,26.55,29.92,2723.771173,82395.28786,82395.28786,1,ZEN-USDT
2018-07-26,1532534400000,29.4,31.88,29.34,29.99,507.855921,15409.34963,15409.34963,1,ZEN-USDT
2018-07-27,1532620800000,30.59,31.0,25.0,31.0,1236.118374,36107.934982,36107.934982,1,ZEN-USDT
2018-07-28,1532707200000,31.0,32.2,30.41,30.52,699.530394,21938.01822,21938.01822,1,ZEN-USDT
2018-07-29,1532793600000,29.92,37.89,29.39,29.5,323.67021,9965.471179,9965.471179,1,ZEN-USDT
2018-07-30,1532880000000,29.5,29.99,28.36,28.36,460.618141,13442.856053,13442.856053,1,ZEN-USDT
2018-07-31,1532966400000,28.36,30.0,26.1,26.74,1556.338453,43819.563999,43819.563999,1,ZEN-USDT
2018-08-01,1533052800000,26.12,27.58,25.4,25.94,543.319254,14080.887554,14080.887554,1,ZEN-USDT
2018-08-02,1533139200000,25.8,26.44,25.04,25.2,278.108336,7102.491311,7102.491311,1,ZEN-USDT
2018-08-03,1533225600000,25.04,25.04,23.1,23.97,1590.921026,38526.943043,38526.943043,1,ZEN-USDT
2018-08-04,1533312000000,24.62,24.62,22.48,22.48,519.525094,12358.339264,12358.339264,1,ZEN-USDT
2018-08-05,1533398400000,22.89,22.89,21.36,21.76,508.329025,11148.749027,11148.749027,1,ZEN-USDT
2018-08-06,1533484800000,21.78,23.57,21.78,22.54,417.753993,9476.680666,9476.680666,1,ZEN-USDT
2018-08-07,1533571200000,22.86,23.99,22.44,23.56,623.847259,14474.166493,14474.166493,1,ZEN-USDT
2018-08-08,1533657600000,23.11,23.12,20.08,20.51,1081.701506,23287.629524,23287.629524,1,ZEN-USDT
2018-08-09,1533744000000,20.05,22.0,19.3,21.58,1081.676914,22454.238072,22454.238072,1,ZEN-USDT
2018-08-10,1533830400000,20.83,21.89,20.0,20.56,908.071626,19173.276118,19173.276118,1,ZEN-USDT
2018-08-11,1533916800000,20.56,20.56,18.5,19.0,607.301631,11444.11231,11444.11231,1,ZEN-USDT
2018-08-12,1534003200000,18.92,20.5,18.92,19.39,607.773522,11948.743208,11948.743208,1,ZEN-USDT
2018-08-13,1534089600000,19.42,20.32,19.0,19.2,570.613888,11199.789852,11199.789852,1,ZEN-USDT
2018-08-14,1534176000000,19.0,19.0,17.0,17.1,583.397889,10258.672507,10258.672507,1,ZEN-USDT
2018-08-15,1534262400000,17.01,19.5,16.25,19.15,945.722478,18040.083162,18040.083162,1,ZEN-USDT
2018-08-16,1534348800000,19.3,19.89,18.18,18.49,300.755708,5610.107339,5610.107339,1,ZEN-USDT
2018-08-17,1534435200000,18.64,20.89,18.32,20.57,926.821365,18469.585735,18469.585735,1,ZEN-USDT
2018-08-18,1534521600000,20.89,21.17,19.55,19.63,1041.070524,21542.6077,21542.6077,1,ZEN-USDT
2018-08-19,1534608000000,19.6,20.0,19.21,20.0,275.657094,5393.853224,5393.853224,1,ZEN-USDT
2018-08-20,1534694400000,20.0,20.87,19.0,19.06,730.804411,14442.317005,14442.317005,1,ZEN-USDT
2018-08-21,1534780800000,19.67,20.48,18.55,20.1,999.928068,19531.14769,19531.14769,1,ZEN-USDT
2018-08-22,1534867200000,20.39,22.6,20.37,21.47,1553.582959,33930.550393,33930.550393,1,ZEN-USDT
2018-08-23,1534953600000,21.0,21.01,19.0,19.69,559.796083,10952.222427,10952.222427,1,ZEN-USDT
2018-08-24,1535040000000,19.69,20.49,19.42,20.03,708.400808,14248.838754,14248.838754,1,ZEN-USDT
2018-08-25,1535126400000,20.5,21.0,19.44,20.99,918.438937,18644.027445,18644.027445,1,ZEN-USDT
2018-08-26,1535212800000,19.53,20.44,18.93,19.46,612.793242,11710.582974,11710.582974,1,ZEN-USDT
2018-08-27,1535299200000,18.93,19.35,18.56,18.91,549.681626,10394.878928,10394.878928,1,ZEN-USDT
2018-08-28,1535385600000,18.91,20.0,18.91,19.39,868.929235,16849.848541,16849.848541,1,ZEN-USDT
2018-08-29,1535472000000,19.44,20.49,18.56,18.56,867.519493,16917.050508,16917.050508,1,ZEN-USDT
2018-08-30,1535558400000,18.56,19.34,18.0,18.05,920.77283,17230.567436,17230.567436,1,ZEN-USDT
2018-08-31,1535644800000,18.39,19.3,18.0,18.3,708.95519,13009.650653,13009.650653,1,ZEN-USDT
2018-09-01,1535731200000,18.83,19.8,18.56,19.76,1298.425362,25110.821001,25110.821001,1,ZEN-USDT
2018-09-02,1535817600000,19.79,19.8,18.38,18.44,837.249109,16178.389422,16178.389422,1,ZEN-USDT
2018-09-03,1535904000000,18.5,19.19,18.01,18.56,967.630952,17811.264958,17811.264958,1,ZEN-USDT
2018-09-04,1535990400000,19.12,20.0,18.75,19.97,1444.166855,28077.437288,28077.437288,1,ZEN-USDT
2018-09-05,1536076800000,20.19,20.69,17.69,17.85,1601.67248,30792.269825,30792.269825,1,ZEN-USDT
2018-09-06,1536163200000,17.85,20.39,15.08,17.64,3579.547988,60833.043464,60833.043464,1,ZEN-USDT
2018-09-07,1536249600000,17.64,18.42,16.97,17.09,785.092373,13865.653238,13865.653238,1,ZEN-USDT
2018-09-08,1536336000000,16.8,17.35,16.11,16.61,875.747199,14842.366607,14842.366607,1,ZEN-USDT
2018-09-09,1536422400000,16.96,17.0,15.69,16.51,2842.232942,45427.420769,45427.420769,1,ZEN-USDT
